millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
4,220,206,232,168,217,-1.29,-10.28,2.31,0,a_0_labelled.csv,0.6833333333333333,0.6716666666666666,0.6933333333333334,0.64,0.6808333333333333,0.49355,0.4486,0.5115500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,219,205,230,169,217,-1.22,-10.59,1.96,0,a_0_labelled.csv,0.6825,0.6708333333333333,0.6916666666666667,0.6408333333333334,0.6808333333333333,0.4939,0.44705,0.5097999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,218,206,228,169,218,-1.37,-10.51,1.8,0,a_0_labelled.csv,0.6816666666666666,0.6716666666666666,0.69,0.6408333333333334,0.6816666666666666,0.49315,0.44744999999999996,0.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,220,206,231,168,218,-1.22,-10.47,1.84,0,a_0_labelled.csv,0.6833333333333333,0.6716666666666666,0.6925,0.64,0.6816666666666666,0.4939,0.44765,0.5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,219,206,227,168,220,-1.18,-10.55,1.96,0,a_0_labelled.csv,0.6825,0.6716666666666666,0.6891666666666667,0.64,0.6833333333333333,0.4941,0.44725000000000004,0.5097999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,219,207,231,169,223,-1.45,-10.55,1.84,0,a_0_labelled.csv,0.6825,0.6725,0.6925,0.6408333333333334,0.6858333333333333,0.49274999999999997,0.44725000000000004,0.5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,220,231,277,186,225,-1.37,-10.51,1.88,0,a_0_labelled.csv,0.6833333333333333,0.6925,0.7308333333333333,0.655,0.6875,0.49315,0.44744999999999996,0.5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,220,330,375,252,259,-1.37,-10.47,2.24,2,a_0_labelled.csv,0.6833333333333333,0.775,0.8125,0.71,0.7158333333333333,0.49315,0.44765,0.5112,0,0,8,0,0,0,7,1,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
803,218,422,444,299,345,-1.45,-10.63,1.92,2,a_0_labelled.csv,0.6816666666666666,0.8516666666666667,0.87,0.7491666666666666,0.7875,0.49274999999999997,0.44685,0.5096,0,0,8,0,0,0,6,2,0,0,6,2,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
903,219,435,441,309,368,-1.77,-11.61,2.94,2,a_0_labelled.csv,0.6825,0.8625,0.8675,0.7575,0.8066666666666666,0.49115000000000003,0.44195,0.5146999999999999,0,0,8,0,0,0,5,3,0,0,5,3,0,0,7,1,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
1003,216,428,432,308,364,-1.18,-10.2,3.45,2,a_0_labelled.csv,0.68,0.8566666666666667,0.86,0.7566666666666667,0.8033333333333333,0.4941,0.449,0.51725,0,0,8,0,0,0,4,4,0,0,4,4,0,0,6,2,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,2
