millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
3,235,185,203,143,180,-4.24,-9.57,1.73,0,b_1_labelled.csv,0.6958333333333333,0.6541666666666667,0.6691666666666667,0.6191666666666666,0.65,0.4788,0.45215000000000005,0.50865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,234,185,204,142,180,-4.28,-9.49,1.73,0,b_1_labelled.csv,0.695,0.6541666666666667,0.67,0.6183333333333333,0.65,0.47859999999999997,0.45255,0.50865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,234,184,203,143,179,-4.16,-9.61,1.73,0,b_1_labelled.csv,0.695,0.6533333333333333,0.6691666666666667,0.6191666666666666,0.6491666666666667,0.4792,0.45195,0.50865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,234,185,203,143,180,-4.39,-9.65,1.45,0,b_1_labelled.csv,0.695,0.6541666666666667,0.6691666666666667,0.6191666666666666,0.65,0.47805,0.45175,0.50725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,234,185,203,143,180,-4.31,-9.61,1.49,0,b_1_labelled.csv,0.695,0.6541666666666667,0.6691666666666667,0.6191666666666666,0.65,0.47845,0.45195,0.50745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,233,184,203,143,179,-4.24,-9.53,1.65,0,b_1_labelled.csv,0.6941666666666667,0.6533333333333333,0.6691666666666667,0.6191666666666666,0.6491666666666667,0.4788,0.45235,0.50825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,233,184,204,142,180,-4.31,-9.57,1.49,0,b_1_labelled.csv,0.6941666666666667,0.6533333333333333,0.67,0.6183333333333333,0.65,0.47845,0.45215000000000005,0.50745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,231,184,203,143,179,-4.31,-9.65,1.57,0,b_1_labelled.csv,0.6925,0.6533333333333333,0.6691666666666667,0.6191666666666666,0.6491666666666667,0.47845,0.45175,0.5078499999999999,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
803,233,184,202,143,180,-4.28,-9.61,1.49,0,b_1_labelled.csv,0.6941666666666667,0.6533333333333333,0.6683333333333333,0.6191666666666666,0.65,0.47859999999999997,0.45195,0.50745,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
903,232,183,203,143,179,-4.31,-9.57,1.53,0,b_1_labelled.csv,0.6933333333333334,0.6525,0.6691666666666667,0.6191666666666666,0.6491666666666667,0.47845,0.45215000000000005,0.50765,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
