millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
3003,273,192,210,159,274,-7.26,-7.18,1.73,0,c_1_labelled.csv,0.7275,0.66,0.675,0.6325,0.7283333333333334,0.4637,0.46409999999999996,0.50865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3103,274,190,206,151,219,-7.06,-7.02,2.04,0,c_1_labelled.csv,0.7283333333333334,0.6583333333333333,0.6716666666666666,0.6258333333333334,0.6825,0.4647,0.46490000000000004,0.5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3203,267,188,204,148,215,-7.45,-7.34,2.0,0,c_1_labelled.csv,0.7225,0.6566666666666666,0.67,0.6233333333333333,0.6791666666666667,0.46275,0.4633,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,261,188,204,148,223,-7.3,-7.18,2.16,0,c_1_labelled.csv,0.7175,0.6566666666666666,0.67,0.6233333333333333,0.6858333333333333,0.4635,0.46409999999999996,0.5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3403,254,186,204,147,241,-7.41,-7.02,2.28,0,c_1_labelled.csv,0.7116666666666667,0.655,0.67,0.6225,0.7008333333333333,0.46295000000000003,0.46490000000000004,0.5114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503,249,187,204,147,227,-7.57,-6.79,2.16,0,c_1_labelled.csv,0.7075,0.6558333333333334,0.67,0.6225,0.6891666666666667,0.46215000000000006,0.46604999999999996,0.5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3603,247,185,204,146,224,-7.53,-6.83,1.92,0,c_1_labelled.csv,0.7058333333333333,0.6541666666666667,0.67,0.6216666666666667,0.6866666666666666,0.46235,0.46585,0.5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3703,245,187,204,147,223,-7.41,-6.9,2.0,0,c_1_labelled.csv,0.7041666666666667,0.6558333333333334,0.67,0.6225,0.6858333333333333,0.46295000000000003,0.46549999999999997,0.51,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3803,245,187,205,147,214,-7.45,-6.9,2.0,0,c_1_labelled.csv,0.7041666666666667,0.6558333333333334,0.6708333333333333,0.6225,0.6783333333333333,0.46275,0.46549999999999997,0.51,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3903,245,185,205,147,205,-7.53,-6.75,1.92,0,c_1_labelled.csv,0.7041666666666667,0.6541666666666667,0.6708333333333333,0.6225,0.6708333333333333,0.46235,0.46625,0.5096,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
