millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
1803,237,184,285,220,242,-6.32,-8.67,1.06,0,d_1_labelled.csv,0.6975,0.6533333333333333,0.7375,0.6833333333333333,0.7016666666666667,0.46840000000000004,0.45665,0.5053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,224,184,243,186,240,-6.24,-8.24,1.8,0,d_1_labelled.csv,0.6866666666666666,0.6533333333333333,0.7025,0.655,0.7,0.46880000000000005,0.45880000000000004,0.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,221,185,217,159,258,-6.43,-8.32,1.29,0,d_1_labelled.csv,0.6841666666666667,0.6541666666666667,0.6808333333333333,0.6325,0.715,0.46785,0.45840000000000003,0.5064500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,219,184,203,144,200,-6.47,-8.36,1.77,0,d_1_labelled.csv,0.6825,0.6533333333333333,0.6691666666666667,0.62,0.6666666666666666,0.46765,0.4582,0.50885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,218,184,200,141,194,-6.28,-8.2,2.04,0,d_1_labelled.csv,0.6816666666666666,0.6533333333333333,0.6666666666666666,0.6175,0.6616666666666666,0.4686,0.45899999999999996,0.5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2304,217,184,199,142,247,-6.35,-8.12,2.04,0,d_1_labelled.csv,0.6808333333333333,0.6533333333333333,0.6658333333333334,0.6183333333333333,0.7058333333333333,0.46825000000000006,0.4594,0.5102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,217,184,198,141,192,-6.28,-8.04,2.0,0,d_1_labelled.csv,0.6808333333333333,0.6533333333333333,0.665,0.6175,0.66,0.4686,0.45980000000000004,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,216,184,198,141,192,-6.32,-8.04,1.73,0,d_1_labelled.csv,0.68,0.6533333333333333,0.665,0.6175,0.66,0.46840000000000004,0.45980000000000004,0.50865,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2604,217,184,201,142,267,-6.28,-8.08,1.65,0,d_1_labelled.csv,0.6808333333333333,0.6533333333333333,0.6675,0.6183333333333333,0.7225,0.4686,0.4596,0.50825,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2703,224,183,303,217,280,-5.49,-8.55,1.26,0,d_1_labelled.csv,0.6866666666666666,0.6525,0.7525,0.6808333333333333,0.7333333333333333,0.47255,0.45725,0.5063,0,0,8,0,0,0,8,0,0,0,7,1,0,0,8,0,0,0,8,0,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
2803,226,187,380,272,300,-6.08,-8.08,1.1,5,d_1_labelled.csv,0.6883333333333334,0.6558333333333334,0.8166666666666667,0.7266666666666667,0.75,0.4696,0.4596,0.5055,0,0,8,0,0,0,8,0,0,0,6,2,0,0,8,0,0,0,7,1,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3003,224,185,411,298,315,-5.96,-8.08,0.9,5,d_1_labelled.csv,0.6866666666666666,0.6541666666666667,0.8425,0.7483333333333333,0.7625,0.4702,0.4596,0.5045000000000001,0,0,8,0,0,0,8,0,0,0,5,3,0,0,8,0,0,0,6,2,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3103,216,185,420,305,327,-6.04,-8.51,0.94,5,d_1_labelled.csv,0.68,0.6541666666666667,0.85,0.7541666666666667,0.7725,0.4698,0.45744999999999997,0.5047,0,0,8,0,0,0,8,0,0,0,4,4,0,0,7,1,0,0,5,3,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,0
3203,213,185,429,308,334,-6.0,-8.36,0.9,5,d_1_labelled.csv,0.6775,0.6541666666666667,0.8575,0.7566666666666667,0.7783333333333333,0.47,0.4582,0.5045000000000001,0,0,8,0,0,0,8,0,0,0,3,5,0,0,6,2,0,0,4,4,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
3303,213,183,432,307,334,-5.77,-8.08,0.67,5,d_1_labelled.csv,0.6775,0.6525,0.86,0.7558333333333334,0.7783333333333333,0.47115,0.4596,0.50335,0,0,8,0,0,0,8,0,0,0,2,6,0,0,5,3,0,0,3,5,0,8,0,0,0,8,0,0,0,0,8,0,0,-1,8,0,5
