millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_4_norm_Ngon_1,bin_5_norm_Ngon_1,bin_6_norm_Ngon_1,bin_7_norm_Ngon_1,bin_8_norm_Ngon_1,bin_9_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_4_norm_Ngon_2,bin_5_norm_Ngon_2,bin_6_norm_Ngon_2,bin_7_norm_Ngon_2,bin_8_norm_Ngon_2,bin_9_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_4_norm_Ngon_3,bin_5_norm_Ngon_3,bin_6_norm_Ngon_3,bin_7_norm_Ngon_3,bin_8_norm_Ngon_3,bin_9_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_4_norm_Ngon_4,bin_5_norm_Ngon_4,bin_6_norm_Ngon_4,bin_7_norm_Ngon_4,bin_8_norm_Ngon_4,bin_9_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_4_norm_Ngon_5,bin_5_norm_Ngon_5,bin_6_norm_Ngon_5,bin_7_norm_Ngon_5,bin_8_norm_Ngon_5,bin_9_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_4_norm_X,bin_5_norm_X,bin_6_norm_X,bin_7_norm_X,bin_8_norm_X,bin_9_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_4_norm_Y,bin_5_norm_Y,bin_6_norm_Y,bin_7_norm_Y,bin_8_norm_Y,bin_9_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,bin_4_norm_Z,bin_5_norm_Z,bin_6_norm_Z,bin_7_norm_Z,bin_8_norm_Z,bin_9_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
3,184,214,157,291,217,-1.69,-8.12,7.14,0,noise_3_labelled.csv,0.46,0.3566666666666667,0.3925,0.485,0.434,0.45775,0.29700000000000004,0.6785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,182,219,156,291,217,-1.29,-8.32,7.18,1,noise_3_labelled.csv,0.455,0.365,0.39,0.485,0.434,0.46775,0.292,0.6795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,178,218,157,289,216,-1.02,-8.28,7.34,1,noise_3_labelled.csv,0.445,0.36333333333333334,0.3925,0.4816666666666667,0.432,0.47450000000000003,0.29300000000000004,0.6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,180,216,156,287,207,-0.94,-8.32,7.06,1,noise_3_labelled.csv,0.45,0.36,0.39,0.47833333333333333,0.414,0.4765,0.292,0.6765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,178,217,156,286,214,-0.71,-8.75,6.9,1,noise_3_labelled.csv,0.445,0.3616666666666667,0.39,0.4766666666666667,0.428,0.48224999999999996,0.28125,0.6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,177,214,155,287,212,-0.86,-8.98,6.43,1,noise_3_labelled.csv,0.4425,0.3566666666666667,0.3875,0.47833333333333333,0.424,0.47850000000000004,0.27549999999999997,0.66075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
603,177,215,156,285,210,-1.26,-8.94,5.3,1,noise_3_labelled.csv,0.4425,0.35833333333333334,0.39,0.475,0.42,0.46849999999999997,0.2765,0.6325000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
703,179,214,155,284,212,-2.43,-9.14,4.75,1,noise_3_labelled.csv,0.4475,0.3566666666666667,0.3875,0.47333333333333333,0.424,0.43925000000000003,0.27149999999999996,0.61875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
803,181,215,156,284,211,-3.33,-9.1,4.0,1,noise_3_labelled.csv,0.4525,0.35833333333333334,0.39,0.47333333333333333,0.422,0.41675000000000006,0.2725,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
903,184,214,155,283,211,-4.55,-8.94,3.73,1,noise_3_labelled.csv,0.46,0.3566666666666667,0.3875,0.4716666666666667,0.422,0.38625,0.2765,0.59325,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,-1,0,0,10,1
1003,179,214,152,281,211,-5.22,-8.75,2.82,1,noise_3_labelled.csv,0.4475,0.3566666666666667,0.38,0.4683333333333333,0.422,0.36950000000000005,0.28125,0.5705,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,-1,0,0,10,1
1103,179,213,154,281,211,-6.08,-8.12,2.28,1,noise_3_labelled.csv,0.4475,0.355,0.385,0.4683333333333333,0.422,0.348,0.29700000000000004,0.557,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,-1,0,0,10,1
1203,175,208,151,270,197,-6.94,-7.61,1.84,1,noise_3_labelled.csv,0.4375,0.3466666666666667,0.3775,0.45,0.394,0.32649999999999996,0.30975,0.546,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,-1,0,0,10,1
1303,169,200,154,278,208,-7.34,-6.83,0.47,1,noise_3_labelled.csv,0.4225,0.3333333333333333,0.385,0.4633333333333333,0.416,0.3165,0.32925,0.5117499999999999,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,-1,0,0,9,1
1403,172,205,148,265,198,-8.28,-5.96,-0.63,1,noise_3_labelled.csv,0.43,0.3416666666666667,0.37,0.44166666666666665,0.396,0.29300000000000004,0.351,0.48425,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,-1,0,0,8,1
1503,172,205,147,254,187,-8.47,-5.37,-2.16,1,noise_3_labelled.csv,0.43,0.3416666666666667,0.3675,0.42333333333333334,0.374,0.28825,0.36574999999999996,0.446,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,-1,0,0,7,1
1603,173,210,152,270,202,-7.49,-4.71,-3.37,1,noise_3_labelled.csv,0.4325,0.35,0.38,0.45,0.404,0.31275,0.38225,0.41574999999999995,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,-1,0,0,6,1
1703,172,207,152,268,200,-7.88,-4.04,-4.2,1,noise_3_labelled.csv,0.43,0.345,0.38,0.44666666666666666,0.4,0.30300000000000005,0.399,0.395,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,-1,0,0,5,1
1803,174,212,155,277,204,-7.65,-3.3,-5.02,1,noise_3_labelled.csv,0.435,0.35333333333333333,0.3875,0.46166666666666667,0.408,0.30874999999999997,0.4175,0.3745,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,-1,0,0,4,1
1903,176,210,156,273,202,-7.37,-3.14,-5.18,1,noise_3_labelled.csv,0.44,0.35,0.39,0.455,0.404,0.31575,0.4215,0.3705,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,-1,0,0,3,1
2003,155,187,135,237,177,-7.26,-2.75,-5.57,1,noise_3_labelled.csv,0.3875,0.31166666666666665,0.3375,0.395,0.354,0.3185,0.43125,0.36075,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,-1,-1,0,0,1
2103,174,208,159,277,205,-7.18,-2.82,-5.02,1,noise_3_labelled.csv,0.435,0.3466666666666667,0.3975,0.46166666666666667,0.41,0.3205,0.4295,0.3745,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,-1,-1,0,0,1
2203,170,205,149,255,182,-7.65,-2.47,-5.41,1,noise_3_labelled.csv,0.425,0.3416666666666667,0.3725,0.425,0.364,0.30874999999999997,0.43825000000000003,0.36475,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,-1,-1,0,0,1
