millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel,infile,norm_Ngon_1,norm_Ngon_2,norm_Ngon_3,norm_Ngon_4,norm_Ngon_5,norm_X,norm_Y,norm_Z,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_4_norm_Ngon_1,bin_5_norm_Ngon_1,bin_6_norm_Ngon_1,bin_7_norm_Ngon_1,bin_8_norm_Ngon_1,bin_9_norm_Ngon_1,bin_10_norm_Ngon_1,bin_11_norm_Ngon_1,bin_12_norm_Ngon_1,bin_13_norm_Ngon_1,bin_14_norm_Ngon_1,bin_15_norm_Ngon_1,bin_16_norm_Ngon_1,bin_17_norm_Ngon_1,bin_18_norm_Ngon_1,bin_19_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_4_norm_Ngon_2,bin_5_norm_Ngon_2,bin_6_norm_Ngon_2,bin_7_norm_Ngon_2,bin_8_norm_Ngon_2,bin_9_norm_Ngon_2,bin_10_norm_Ngon_2,bin_11_norm_Ngon_2,bin_12_norm_Ngon_2,bin_13_norm_Ngon_2,bin_14_norm_Ngon_2,bin_15_norm_Ngon_2,bin_16_norm_Ngon_2,bin_17_norm_Ngon_2,bin_18_norm_Ngon_2,bin_19_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_4_norm_Ngon_3,bin_5_norm_Ngon_3,bin_6_norm_Ngon_3,bin_7_norm_Ngon_3,bin_8_norm_Ngon_3,bin_9_norm_Ngon_3,bin_10_norm_Ngon_3,bin_11_norm_Ngon_3,bin_12_norm_Ngon_3,bin_13_norm_Ngon_3,bin_14_norm_Ngon_3,bin_15_norm_Ngon_3,bin_16_norm_Ngon_3,bin_17_norm_Ngon_3,bin_18_norm_Ngon_3,bin_19_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_4_norm_Ngon_4,bin_5_norm_Ngon_4,bin_6_norm_Ngon_4,bin_7_norm_Ngon_4,bin_8_norm_Ngon_4,bin_9_norm_Ngon_4,bin_10_norm_Ngon_4,bin_11_norm_Ngon_4,bin_12_norm_Ngon_4,bin_13_norm_Ngon_4,bin_14_norm_Ngon_4,bin_15_norm_Ngon_4,bin_16_norm_Ngon_4,bin_17_norm_Ngon_4,bin_18_norm_Ngon_4,bin_19_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_4_norm_Ngon_5,bin_5_norm_Ngon_5,bin_6_norm_Ngon_5,bin_7_norm_Ngon_5,bin_8_norm_Ngon_5,bin_9_norm_Ngon_5,bin_10_norm_Ngon_5,bin_11_norm_Ngon_5,bin_12_norm_Ngon_5,bin_13_norm_Ngon_5,bin_14_norm_Ngon_5,bin_15_norm_Ngon_5,bin_16_norm_Ngon_5,bin_17_norm_Ngon_5,bin_18_norm_Ngon_5,bin_19_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_4_norm_X,bin_5_norm_X,bin_6_norm_X,bin_7_norm_X,bin_8_norm_X,bin_9_norm_X,bin_10_norm_X,bin_11_norm_X,bin_12_norm_X,bin_13_norm_X,bin_14_norm_X,bin_15_norm_X,bin_16_norm_X,bin_17_norm_X,bin_18_norm_X,bin_19_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_4_norm_Y,bin_5_norm_Y,bin_6_norm_Y,bin_7_norm_Y,bin_8_norm_Y,bin_9_norm_Y,bin_10_norm_Y,bin_11_norm_Y,bin_12_norm_Y,bin_13_norm_Y,bin_14_norm_Y,bin_15_norm_Y,bin_16_norm_Y,bin_17_norm_Y,bin_18_norm_Y,bin_19_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,bin_4_norm_Z,bin_5_norm_Z,bin_6_norm_Z,bin_7_norm_Z,bin_8_norm_Z,bin_9_norm_Z,bin_10_norm_Z,bin_11_norm_Z,bin_12_norm_Z,bin_13_norm_Z,bin_14_norm_Z,bin_15_norm_Z,bin_16_norm_Z,bin_17_norm_Z,bin_18_norm_Z,bin_19_norm_Z,longestPosEdge,longestNegEdge,longestPosCount,longestNegCount,label
103,168,269,159,284,216,-0.27,-10.67,1.88,0,toi1_labelled.csv,0.64,0.7241666666666666,0.6325,0.7366666666666667,0.68,0.49865000000000004,0.44665,0.5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,167,267,159,284,216,-0.27,-10.63,1.73,0,toi1_labelled.csv,0.6391666666666667,0.7225,0.6325,0.7366666666666667,0.68,0.49865000000000004,0.44685,0.50865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,167,264,159,284,216,-0.24,-10.67,1.88,0,toi1_labelled.csv,0.6391666666666667,0.72,0.6325,0.7366666666666667,0.68,0.4988,0.44665,0.5094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,167,264,159,284,216,-0.04,-10.63,1.96,0,toi1_labelled.csv,0.6391666666666667,0.72,0.6325,0.7366666666666667,0.68,0.49979999999999997,0.44685,0.5097999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,167,266,159,284,216,-0.24,-10.67,1.8,0,toi1_labelled.csv,0.6391666666666667,0.7216666666666667,0.6325,0.7366666666666667,0.68,0.4988,0.44665,0.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,168,264,159,284,216,-0.35,-10.67,1.8,0,toi1_labelled.csv,0.64,0.72,0.6325,0.7366666666666667,0.68,0.49825,0.44665,0.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,168,263,159,284,216,-0.16,-10.67,1.77,0,toi1_labelled.csv,0.64,0.7191666666666666,0.6325,0.7366666666666667,0.68,0.49920000000000003,0.44665,0.50885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,167,262,159,284,216,-0.08,-10.67,2.0,0,toi1_labelled.csv,0.6391666666666667,0.7183333333333334,0.6325,0.7366666666666667,0.68,0.4996,0.44665,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,168,262,159,284,216,-0.24,-10.59,1.84,0,toi1_labelled.csv,0.64,0.7183333333333334,0.6325,0.7366666666666667,0.68,0.4988,0.44705,0.5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,168,259,159,284,216,-0.2,-10.67,1.92,0,toi1_labelled.csv,0.64,0.7158333333333333,0.6325,0.7366666666666667,0.68,0.499,0.44665,0.5096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
