millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,235,185,203,143,180,-4.24,-9.57,1.73,0
103,234,185,204,142,180,-4.28,-9.49,1.73,0
203,234,184,203,143,179,-4.16,-9.61,1.73,0
303,234,185,203,143,180,-4.39,-9.65,1.45,0
403,234,185,203,143,180,-4.31,-9.61,1.49,0
503,233,184,203,143,179,-4.24,-9.53,1.65,0
603,233,184,204,142,180,-4.31,-9.57,1.49,0
703,231,184,203,143,179,-4.31,-9.65,1.57,0
803,233,184,202,143,180,-4.28,-9.61,1.49,0
903,232,183,203,143,179,-4.31,-9.57,1.53,0
1003,233,183,203,143,180,-4.16,-9.53,1.53,0
1103,232,184,203,143,180,-4.24,-9.65,1.53,0
1203,233,178,203,143,179,-4.35,-9.57,1.29,0
1303,233,184,203,143,179,-4.31,-9.53,1.41,0
1403,233,184,203,142,180,-4.39,-9.53,1.45,0
1503,232,185,203,142,179,-4.31,-9.57,1.57,0
1603,233,184,203,142,179,-4.31,-9.57,1.41,0
1703,233,184,203,142,179,-4.28,-9.53,1.41,0
1803,233,185,202,143,179,-4.28,-9.53,1.45,0
1903,229,184,203,141,179,-4.28,-9.53,1.53,0
2003,233,184,202,142,179,-4.2,-9.57,1.49,0
2103,234,184,203,143,179,-4.2,-9.57,1.49,0
2203,226,184,203,143,180,-4.43,-9.53,1.29,0
2304,236,182,202,143,179,-4.43,-9.65,1.37,0
2403,255,185,203,142,179,-4.04,-9.69,0.82,0
2503,289,183,202,142,178,-4.12,-9.49,0.59,3
2604,305,183,202,141,178,-3.88,-9.49,0.27,3
2703,323,184,201,141,178,-3.92,-9.49,0.08,3
2803,343,184,202,141,177,-3.84,-9.61,-0.04,3
3003,342,183,200,142,176,-4.08,-9.61,0.27,3
3103,336,181,201,144,176,-4.2,-9.57,0.27,3
3203,290,185,202,142,209,-4.12,-9.49,0.39,3
3303,253,184,204,142,219,-4.71,-9.69,0.78,0
3403,240,185,202,142,211,-4.31,-9.53,0.27,0
3503,235,185,201,142,221,-4.12,-9.61,0.27,0
3603,230,186,202,140,203,-4.04,-9.53,0.39,0
3703,224,185,203,141,214,-3.92,-9.61,0.82,0
3803,220,185,201,142,187,-4.39,-9.81,0.71,0
3903,218,185,201,142,200,-3.92,-9.65,0.78,0
4003,217,187,201,142,189,-4.39,-9.81,0.9,0
4103,218,186,202,142,192,-4.12,-9.38,0.94,0
4203,229,186,201,143,197,-4.2,-9.81,0.78,0
4303,256,185,201,141,189,-4.75,-9.61,1.33,0
4403,294,185,200,142,176,-3.92,-9.69,0.24,3
4503,309,184,201,143,176,-3.96,-9.81,0.2,3
4603,324,185,200,142,176,-3.69,-9.77,0.08,3
4703,336,186,200,142,176,-3.77,-9.69,0.08,3
4803,352,185,200,144,175,-4.2,-9.57,0.04,3
4903,358,184,201,142,176,-4.08,-9.73,0.16,3
