millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,173,210,158,280,292,1.1,-10.63,1.22,0
103,174,210,159,281,293,1.06,-10.71,1.14,0
203,174,210,159,280,292,0.98,-10.71,1.1,0
303,174,210,158,280,291,0.98,-10.71,1.02,0
403,175,210,158,280,292,0.98,-10.71,1.18,0
503,175,210,157,280,292,1.02,-10.79,1.18,0
603,175,211,157,281,292,1.18,-10.59,1.45,0
703,180,213,158,284,292,1.37,-10.71,1.77,0
803,188,215,160,294,295,1.57,-10.63,1.96,0
903,195,220,164,317,297,1.73,-10.55,2.79,0
1003,201,261,201,374,304,2,-9.81,3.92,12
1103,204,350,287,490,323,1.92,-9.02,6.86,12
1203,195,408,317,521,328,2.16,-8.83,5.77,12
1303,189,421,321,521,329,2.31,-9.38,5.02,12
1403,184,416,317,516,330,0.67,-10.36,5.1,12
1503,175,427,321,515,328,-4.28,-10.04,4.08,12
1603,170,427,321,507,327,-8.75,-8.9,5.26,12
1703,174,417,311,503,320,1.1,-8.55,6.47,12
1803,177,427,307,499,315,8.47,-7.85,6.83,12
1903,175,412,305,493,312,5.26,-9.92,4.98,12
2003,176,404,299,482,309,-7.53,-6.75,6.83,12
2103,178,397,297,482,307,-3.18,-7.34,5.37,12
2203,186,389,299,493,307,9.45,-6.47,6.79,12
2304,187,394,294,494,319,3.8,-9.81,5.69,12
2403,188,346,278,450,315,0.63,-9.41,5.49,12
2503,180,241,166,306,304,-1.49,-9.92,5.02,0
2604,175,221,159,292,299,-0.27,-10.55,3.02,0
2703,172,212,185,289,297,-0.04,-10.16,1.61,0
2803,169,212,182,286,296,-0.75,-10.67,1.92,0
3003,170,211,197,284,294,-0.63,-10.12,1.1,0
3103,170,210,209,283,294,-0.16,-10.87,0.78,0
3203,171,211,215,284,294,-0.35,-10.71,0.82,0
3303,171,212,212,284,294,-0.39,-10.55,0.78,0
3403,170,211,216,284,294,-0.51,-10.67,0.71,0
3503,170,211,213,283,294,-0.43,-10.71,0.86,0
3603,170,212,216,284,293,-0.39,-10.55,0.55,0
3703,170,214,216,287,294,-1.18,-9.77,0.98,0
3803,174,257,189,351,297,-0.82,-10.08,2.2,0
3903,184,324,246,456,311,-0.39,-9.69,5.14,12
4003,185,402,308,513,328,0.82,-9.53,5.96,12
4103,179,430,325,527,383,1.14,-8.83,6.63,12
4203,174,431,322,524,379,2.12,-9.3,6.43,12
4303,171,424,317,511,353,-0.43,-11.81,5.96,12
4403,172,416,314,499,334,-13.42,-2.9,9.96,12
4503,176,400,306,504,319,2.47,-8.83,5.57,12
4603,180,388,298,500,314,8.43,-8.04,5.84,12
4703,178,383,295,491,313,-0.31,-8.83,4.43,12
4803,180,380,294,480,308,-9.61,-4.12,8.04,12
4903,190,384,295,495,306,5.3,-9.34,7.92,12
5003,189,375,292,496,310,8.2,-10.87,6.12,12
5103,186,360,285,483,315,2,-10.79,5.33,12
5203,184,253,192,349,313,-2.63,-9.18,5.57,0
5303,177,227,202,293,307,-0.71,-10.04,2.16,0
5403,173,212,206,286,301,-1.14,-11.02,1.61,0
5504,171,210,156,284,298,-0.94,-10.51,1.84,0
5603,170,210,156,283,299,-1.37,-9.3,1.8,0
5703,170,211,156,283,298,-1.06,-9.53,1.45,0
