millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3003,273,192,210,159,274,-7.26,-7.18,1.73,0
3103,274,190,206,151,219,-7.06,-7.02,2.04,0
3203,267,188,204,148,215,-7.45,-7.34,2,0
3303,261,188,204,148,223,-7.3,-7.18,2.16,0
3403,254,186,204,147,241,-7.41,-7.02,2.28,0
3503,249,187,204,147,227,-7.57,-6.79,2.16,0
3603,247,185,204,146,224,-7.53,-6.83,1.92,0
3703,245,187,204,147,223,-7.41,-6.9,2,0
3803,245,187,205,147,214,-7.45,-6.9,2,0
3903,245,185,205,147,205,-7.53,-6.75,1.92,0
4003,253,191,208,155,214,-7.69,-6.79,1.92,0
4103,259,202,233,180,232,-7.02,-6.59,1.77,0
4203,247,225,280,213,248,-7.18,-7.1,0.98,0
4303,248,255,325,245,283,-7.18,-7.37,0.67,4
4403,249,275,342,258,318,-7.02,-7.34,0.47,4
4503,252,286,350,260,292,-7.26,-7.34,0.27,4
4603,257,289,349,262,329,-7.02,-7.49,0.39,4
4703,260,289,347,263,336,-7.1,-7.3,0,4
4803,258,289,346,263,325,-7.06,-7.26,0,4
4903,256,287,345,262,313,-7.14,-7.22,0.04,4
5003,257,286,342,262,312,-6.94,-7.34,0.12,4
5103,260,282,338,262,293,-7.1,-7.49,0.43,4
5203,257,280,339,261,292,-7.14,-7.26,0.04,4
5303,257,274,333,257,288,-7.06,-7.34,0.04,4
5403,254,252,306,236,275,-7.02,-7.61,1.18,4
5504,248,223,262,199,250,-6.98,-7.18,1.41,0
5603,248,205,232,173,226,-6.9,-7.1,1.8,0
5703,256,196,214,161,218,-7.02,-7.45,1.8,0
5804,260,191,207,152,207,-7.02,-7.22,2.2,0
5903,256,188,204,147,212,-7.14,-7.45,2.24,0
6003,247,187,204,146,228,-7.37,-7.34,2.43,0
6203,240,187,203,146,223,-7.37,-7.06,2.31,0
6303,240,186,205,146,216,-7.37,-7.06,2.16,0
