millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,227,178,210,150,215,-4.79,-9.1,1.06,0
103,227,194,209,150,210,-4.51,-9.3,1.49,0
203,227,194,211,150,227,-3.84,-9.53,1.14,0
303,227,193,211,150,213,-4.63,-9.41,1.41,0
403,227,194,210,150,212,-4.08,-9.41,1.33,0
503,227,194,211,150,216,-4.9,-9.18,1.41,0
603,227,194,210,150,212,-4.82,-9.3,1.37,0
703,224,193,210,150,214,-4.47,-9.61,1.18,0
803,227,194,209,151,215,-4.86,-9.18,1.53,0
903,228,194,210,151,216,-4.35,-9.41,1.77,0
1003,227,194,210,151,228,-5.06,-9.18,1.84,0
1103,231,194,211,155,224,-4,-9.22,1.88,0
1203,251,194,214,159,282,-5.02,-9.3,1.53,0
1303,232,194,229,173,274,-4.63,-9.41,1.73,0
1403,231,195,329,234,275,-4.51,-9.61,1.33,0
1503,235,198,393,282,287,-5.14,-9.57,1.61,5
1603,249,198,416,306,353,-4.63,-9.49,1.69,5
1703,269,194,417,314,372,-4.79,-9.3,0.78,5
1803,295,190,421,313,380,-4.82,-9.1,0.78,5
1903,317,189,423,316,380,-4.59,-8.79,0.67,5
2003,329,188,418,316,386,-4.9,-8.79,0.71,5
2103,330,187,416,314,380,-4.43,-9.38,0,5
2203,330,188,414,313,382,-4.55,-9.3,0.16,5
2304,326,188,411,313,376,-4.43,-9.45,0.04,5
2403,326,188,410,311,379,-4.94,-9.18,0,5
2503,298,187,407,303,362,-4.31,-9.38,-0.16,5
2604,267,189,354,273,307,-4.55,-9.53,0.24,5
2703,258,189,303,234,293,-4.79,-9.77,0.31,0
2803,239,188,262,197,241,-5.06,-9.73,0.71,0
3003,231,184,213,149,206,-4.24,-9.73,0.55,0
3103,231,186,206,145,251,-4.24,-9.49,0.47,0
3203,229,187,203,143,256,-4.51,-9.69,0.9,0
3303,229,185,203,143,210,-4.47,-9.22,1.06,0
3403,228,185,203,143,247,-4.12,-9.45,0.82,0
3503,229,184,202,143,198,-4.31,-9.61,0.71,0
3603,229,185,201,143,194,-4.51,-9.34,0.75,0
3703,230,185,201,142,193,-4.31,-9.45,0.51,0
3803,227,186,202,143,216,-4.31,-9.38,0.35,0
3903,260,187,211,157,249,-4.28,-9.49,0.39,0
4003,234,191,310,223,295,-4.24,-9.96,0.51,0
4103,235,194,383,272,358,-4.08,-9.49,0.9,5
4203,250,193,413,298,327,-4.24,-9.49,0.71,5
4303,273,191,415,307,476,-4.04,-9.77,0.35,5
4403,293,189,416,307,498,-3.84,-9.53,-0.59,5
4503,307,188,408,308,509,-4.35,-9.18,0.43,5
4603,308,188,413,309,537,-4.67,-9.14,0.04,5
4703,309,187,410,308,364,-4.24,-9.3,-0.16,5
4803,308,187,414,308,364,-4.51,-9.61,-0.59,5
4903,305,188,414,309,364,-4.35,-9.38,-0.55,5
5003,301,186,409,307,362,-4.35,-9.3,-0.16,5
5103,295,186,411,304,386,-4.31,-9.26,-0.27,5
5203,269,187,373,278,310,-4.08,-9.38,-0.24,5
5303,257,187,307,235,261,-3.92,-9.49,-0.08,0
5403,234,187,249,186,262,-4.98,-9.57,-0.04,0
5504,230,187,217,158,239,-4.47,-9.38,1.06,0
5603,230,185,206,145,202,-4.35,-9.3,0.35,0
5703,230,186,203,143,199,-4.47,-9.61,0.31,0
5804,231,186,200,143,198,-4.31,-9.45,0.71,0
5903,230,184,203,143,197,-4.35,-9.38,0.59,0
6003,231,185,201,143,195,-4.67,-9.34,0.63,0
6203,231,185,199,142,195,-4.82,-9.1,0.78,0
6303,230,184,199,143,194,-4.82,-9.14,0.63,0
6403,228,185,201,143,199,-4.9,-9.14,0.86,0
6503,233,186,259,191,250,-4.79,-9.18,1.88,0
6603,233,190,359,260,300,-4.63,-9.41,1.14,5
6703,244,189,397,290,354,-4.59,-9.1,1.37,5
6803,250,191,414,306,352,-4.82,-9.02,1.41,5
6903,274,189,416,317,366,-4.55,-9.18,0.63,5
7003,289,188,417,318,373,-4.35,-9.22,0.24,5
7103,312,186,417,317,413,-4.55,-9.65,-0.94,5
7203,318,186,414,315,410,-4.39,-9.49,-0.55,5
7303,316,186,415,313,410,-4.51,-9.1,-0.55,5
7403,312,186,412,312,410,-4.63,-8.98,-0.2,5
7503,307,187,407,311,380,-4.67,-9.34,-0.55,5
7603,302,186,408,308,362,-4.63,-9.3,-0.55,5
7703,275,186,385,293,332,-4.47,-9.41,-0.51,5
7803,262,187,338,264,294,-4.55,-9.34,-0.12,5
7903,262,188,286,225,255,-4.59,-9.57,-0.63,0
8003,235,187,237,179,273,-4.75,-9.3,0.27,0
8103,226,186,212,154,216,-4.63,-9.38,0.08,0
8203,224,185,205,148,202,-4.67,-9.22,0.51,0
8303,223,184,205,147,201,-4.82,-9.41,0.71,0
8403,222,184,204,146,204,-5.26,-9.22,1.41,0
8503,221,184,204,146,201,-5.49,-8.59,2.28,0
8603,219,184,203,146,201,-5.18,-8.75,1.61,0
8704,221,185,204,147,201,-5.14,-8.94,1.26,0
8803,221,184,204,145,201,-4.94,-8.98,1.49,0
8903,224,184,202,145,200,-5.14,-9.18,0.35,0
9004,226,185,201,145,220,-5.02,-9.02,0.9,0
9103,226,185,201,145,211,-5.26,-8.9,1.02,0
9203,226,184,200,144,201,-5.06,-8.94,0.78,0
9403,227,185,201,145,197,-5.1,-9.18,0.63,0
9503,228,185,201,145,197,-5.3,-9.1,0.67,0
9603,229,185,200,144,196,-5.26,-8.94,0.67,0
9703,230,184,199,144,195,-5.14,-9.06,0.86,0
9803,228,184,202,145,198,-5.02,-8.67,1.1,0
9903,248,192,275,209,279,-4.9,-9.06,1.18,0
10003,237,200,364,269,364,-5.3,-8.83,1.65,5
10103,240,205,408,296,349,-4.94,-8.79,0.94,5
10203,249,202,426,313,380,-5.1,-8.55,1.14,5
10303,272,198,425,319,401,-4.82,-8.47,0.24,5
10403,302,194,430,320,387,-4.82,-9.38,-1.37,5
10503,313,191,429,320,388,-4.63,-9.22,-1.57,5
10603,310,186,429,319,390,-4.71,-8.9,-1.22,5
10703,309,187,424,317,384,-4.55,-8.98,-1.45,5
10803,306,188,420,319,378,-4.86,-9.18,-1.57,5
10903,297,188,421,314,373,-4.63,-8.9,-1.29,5
11003,269,189,408,298,363,-4.55,-9.02,-0.98,5
11103,256,193,327,259,326,-4.67,-8.94,-0.35,5
11203,254,193,270,213,239,-4.2,-8.94,-0.04,0
11303,253,190,224,167,262,-4.43,-9.14,0.04,0
11403,241,188,204,148,205,-4.98,-9.53,0.35,0
11503,236,186,202,143,200,-4.43,-9.38,-0.16,0
11603,236,185,200,143,191,-4.63,-9.45,0.55,0
11703,238,184,200,141,189,-4.39,-9.34,0.27,0
11803,240,184,199,142,188,-4.79,-9.22,0.12,0
11904,240,184,199,141,188,-5.02,-8.94,0.59,0
