millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,171,208,255,429,231,-4.55,-8,6.2,5
103,173,211,310,496,238,-4.55,-8,6.2,5
203,200,211,315,510,241,-6.16,-7.45,6.47,5
303,213,209,311,512,214,-3.61,-5.61,6.35,5
403,233,208,319,515,195,-5.57,-5.37,7.02,5
503,236,208,321,512,192,-7.06,-5.37,7.26,5
603,235,203,315,512,191,-6.94,-5.22,7.37,5
703,234,201,317,508,190,-5.96,-5.84,6.47,5
803,232,205,316,505,190,-6.43,-5.65,6.35,5
903,229,205,316,502,189,-6.32,-5.65,6.63,5
1003,209,207,309,483,194,-5.77,-6.04,6.9,5
1103,184,207,245,410,194,-6,-7.06,6.2,5
1203,174,206,184,332,193,-6.04,-7.18,6.86,5
1303,167,205,158,299,193,-4.59,-7.45,5.96,0
1403,163,204,152,284,192,-3.92,-7.77,4.94,0
1503,159,202,149,276,192,-3.3,-7.73,4.79,0
1603,160,201,149,272,192,-4.31,-7.26,6.51,0
1703,159,202,149,271,192,-5.02,-7.61,8,0
1803,160,201,150,271,192,-4.67,-7.77,7.18,0
1903,160,202,151,271,192,-4.39,-7.37,6.35,0
2003,161,200,149,273,191,-4.47,-7.49,6.24,0
2103,167,205,198,334,197,-4.35,-8.08,6.51,5
2203,175,216,299,444,239,-4.9,-7.49,6,5
2304,179,217,328,488,268,-4.9,-7.92,4.71,5
2403,209,214,332,499,289,-4.16,-7.49,4.35,5
2503,228,211,338,516,281,-4.2,-7.26,3.22,5
2604,232,208,337,525,234,-5.18,-7.18,5.18,5
2703,229,207,336,521,206,-7.85,-6.47,8.43,5
2803,229,205,335,519,196,-5.53,-6.9,6.83,5
3003,229,205,329,513,191,-5.96,-6.43,6.43,5
3103,230,205,325,511,190,-5.53,-6.86,6.24,5
3203,229,205,326,509,191,-5.73,-7.1,6,5
3303,219,196,323,479,192,-5.61,-6.79,6,5
3403,188,206,256,399,194,-5.61,-7.57,5.61,5
