millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
4,180,202,154,273,291,-2.79,-8.12,7.22,0
103,179,201,151,273,290,-3.33,-8.0,6.43,1
203,177,200,152,271,285,-3.92,-8.2,6.55,1
303,176,200,152,269,283,-4.12,-8.24,6.12,1
403,175,200,152,269,283,-3.88,-8.12,5.53,1
503,173,197,150,265,275,-4.04,-8.2,6.16,1
603,171,194,148,260,273,-3.8,-8.36,5.88,1
703,167,190,145,257,266,-3.73,-8.59,5.53,1
803,172,197,149,263,274,-3.96,-8.51,5.84,1
903,170,197,149,264,271,-3.88,-8.32,5.69,1
1003,172,198,151,265,275,-3.92,-8.36,6.12,1
1103,169,197,148,263,275,-4.2,-8.36,5.61,1
1203,170,198,151,265,276,-3.88,-8.24,6.08,1
1303,172,200,151,266,275,-3.84,-8.32,6.83,1
1403,174,199,151,265,279,-3.8,-8.28,6.0,1
1503,173,197,150,266,273,-3.22,-8.36,5.96,1
1603,170,201,154,266,275,-3.14,-8.43,6.08,1
1703,173,202,149,265,277,-3.18,-8.59,6.12,1
1803,172,203,151,264,275,-2.98,-8.63,5.88,1
1903,174,205,150,265,277,-3.33,-8.55,6.08,1
2003,172,198,153,267,278,-3.3,-8.28,5.92,1
2103,174,202,153,266,278,-3.3,-8.39,5.92,1
2203,173,201,153,268,277,-3.14,-8.47,6.39,1
2304,173,201,153,273,277,-2.86,-8.36,6.71,1
2403,178,201,153,267,270,-2.67,-8.32,6.35,1
2503,173,200,153,268,279,-2.75,-8.43,6.28,1
2604,174,203,153,269,279,-3.06,-8.43,6.47,1
2703,173,200,154,263,279,-2.67,-8.32,5.92,1
2803,173,201,152,264,277,-3.26,-8.28,6.59,1
3003,169,194,146,263,271,-3.02,-8.04,6.47,1
3103,167,193,148,259,269,-3.53,-8.04,6.24,1
3203,170,196,151,265,274,-3.65,-8.16,6.39,1
3303,171,199,152,264,275,-2.94,-7.92,6.0,1
3403,172,199,152,265,276,-3.26,-8.04,7.22,1
3503,171,200,151,265,275,-2.98,-7.81,6.51,1
3603,172,200,153,266,276,-3.37,-8.2,6.83,1
3703,173,198,153,266,274,-3.37,-8.04,6.75,1
3803,173,201,152,266,277,-3.02,-7.85,6.86,1
3903,171,199,154,266,276,-3.22,-8.08,6.9,1
4003,175,202,156,268,277,-3.45,-7.88,7.06,1
4103,175,203,154,266,278,-3.22,-7.77,6.9,1
4203,174,204,152,267,277,-3.06,-7.88,6.86,1
4303,173,201,152,265,276,-2.98,-8.04,6.9,1
4403,174,202,153,266,276,-3.14,-7.96,6.98,1
4503,173,196,153,266,275,-3.26,-7.92,6.83,1
4603,173,200,154,266,275,-3.41,-7.92,7.26,1
4703,174,199,150,267,275,-3.18,-7.96,6.83,1
4803,173,200,149,265,274,-2.82,-8.08,6.63,1
4903,173,200,152,265,275,-3.45,-7.88,6.9,1
5003,172,200,153,266,275,-3.1,-7.96,6.55,1
5103,172,199,152,265,278,-3.18,-8.08,6.83,1
5203,172,201,153,267,277,-3.37,-8.04,7.26,1
5303,173,199,153,266,274,-3.26,-8.0,6.98,1
5403,174,202,152,267,277,-3.06,-8.08,6.79,1
5504,175,202,154,266,277,-3.26,-7.96,6.79,1
5603,174,204,153,266,275,-3.1,-8.12,6.67,1
5703,173,203,153,266,275,-3.1,-8.2,6.63,1
5804,175,198,152,267,278,-3.26,-7.96,6.35,1
5903,174,201,155,268,275,-3.3,-8.04,6.67,1
6003,174,199,152,267,276,-3.3,-8.04,6.86,1
6203,174,203,151,266,272,-3.22,-7.88,6.67,1
6303,174,197,152,268,275,-3.41,-8.0,7.06,1
6403,175,203,154,264,275,-3.1,-7.96,6.79,1
6503,174,202,152,265,273,-3.33,-7.96,6.71,1
6603,172,200,151,265,275,-3.1,-7.96,6.71,1
6703,173,201,151,265,276,-3.3,-8.04,6.94,1
6803,172,201,151,265,274,-3.02,-8.08,6.63,1
6903,171,184,151,265,273,-3.1,-7.96,6.47,1
7003,171,198,152,256,273,-3.18,-8.12,6.75,1
7103,171,192,152,265,274,-3.14,-8.04,6.83,1
7203,171,199,149,265,273,-3.06,-7.92,6.83,1
7303,171,199,151,265,274,-3.22,-8.28,6.94,1
7403,171,200,150,265,273,-3.18,-8.08,6.59,1
7503,171,200,150,265,274,-3.22,-8.0,6.63,1
7603,171,199,151,265,273,-3.06,-7.88,6.51,1
7703,172,199,151,265,274,-3.1,-8.04,6.24,1
7803,171,200,152,265,272,-3.49,-7.69,6.47,1
7903,171,198,150,263,272,-3.45,-7.61,7.34,1
8003,173,201,152,268,274,-3.37,-7.34,8.04,1
8103,173,200,151,268,278,-3.33,-7.53,8.04,1
8203,171,202,153,267,277,-3.3,-7.41,7.37,1
8303,172,202,152,267,275,-3.18,-7.37,7.49,1
8403,169,199,149,266,276,-3.22,-7.61,7.22,1
8503,171,203,152,267,276,-3.14,-7.65,6.86,1
8603,173,201,151,268,276,-3.26,-7.69,7.18,1
8704,172,199,151,267,277,-3.41,-7.69,7.34,1
8803,173,201,151,268,276,-2.94,-7.61,6.59,1
8903,174,204,152,269,279,-3.3,-7.49,7.1,1
9004,174,202,153,269,279,-3.49,-7.81,7.18,1
9103,174,202,153,269,278,-3.61,-7.88,7.41,1
9203,174,203,153,269,279,-3.06,-7.73,7.37,1
9403,175,206,154,269,278,-3.14,-7.53,7.1,1
9503,175,203,153,269,276,-3.14,-7.69,7.14,1
9603,175,206,153,270,274,-3.14,-7.69,6.71,1
9703,173,205,154,270,279,-3.61,-7.81,6.71,1
9803,173,205,152,267,276,-3.8,-7.53,7.22,1
9903,179,206,156,274,283,-3.26,-7.65,7.14,1
10003,175,208,157,273,282,-3.41,-7.73,7.14,1
10103,177,207,155,272,278,-4.24,-7.45,7.14,1
10203,177,205,155,270,276,-3.57,-7.49,6.79,1
10303,172,198,150,262,270,-3.53,-7.65,7.3,1
10403,176,207,153,268,278,-3.65,-7.57,6.79,1
10503,172,205,153,267,276,-3.84,-7.49,6.94,1
10603,171,200,148,265,269,-3.88,-7.45,6.79,1
10703,170,203,151,266,280,-3.92,-7.69,7.02,1
10803,172,203,151,265,273,-3.77,-7.53,6.94,1
10903,165,197,148,261,269,-3.53,-7.53,6.51,1
11003,168,203,148,261,270,-3.61,-7.49,6.75,1
11103,174,203,151,268,263,-3.77,-7.73,7.1,1
11203,168,199,149,261,269,-3.45,-7.53,7.1,1
11303,168,196,148,260,269,-3.57,-7.45,7.06,1
11403,168,197,148,261,270,-3.45,-7.65,7.06,1
11503,165,196,148,260,269,-3.18,-7.57,7.02,1
11603,166,193,146,258,266,-3.3,-7.69,7.1,1
11703,165,193,145,255,264,-3.26,-7.96,7.02,1
11803,161,188,142,250,258,-3.45,-7.53,6.83,1
11904,175,203,154,270,280,-3.73,-7.57,6.51,1
12003,176,204,152,271,280,-3.22,-7.57,6.79,1
12103,175,204,153,271,280,-3.3,-7.85,6.75,1
12204,175,206,153,272,279,-3.65,-7.81,6.98,1
12303,176,204,155,270,279,-3.57,-7.65,6.83,1
12403,177,206,156,271,280,-3.49,-7.73,6.71,1
12603,174,203,151,271,280,-3.73,-7.57,6.98,1
12703,177,205,153,271,279,-3.57,-7.49,6.94,1
12803,175,204,155,271,278,-3.53,-7.45,6.86,1
12903,173,205,154,271,279,-3.65,-7.61,7.18,1
13003,174,203,153,270,278,-3.65,-7.49,7.02,1
13103,171,199,150,264,272,-3.49,-7.49,7.26,1
13203,171,200,149,263,273,-3.77,-7.45,7.49,1
13303,170,198,149,262,271,-3.53,-7.45,7.14,1
13403,169,196,148,261,269,-3.45,-7.45,6.9,1
13503,177,208,154,273,282,-3.45,-7.37,7.02,1
13603,179,204,156,274,283,-3.8,-7.37,7.14,1
13703,177,204,155,273,282,-3.73,-7.34,6.9,1
13803,180,209,155,273,279,-3.57,-7.18,6.94,1
13903,183,212,157,274,283,-3.61,-7.02,7.65,1
14003,183,213,157,273,287,-3.77,-6.98,7.41,1
14103,178,210,156,270,284,-4.51,-6.94,7.53,1
14203,184,215,160,276,291,-4.04,-7.02,7.26,1
14303,184,214,160,276,292,-4.0,-6.98,7.34,1
14403,184,215,156,278,288,-4.39,-6.94,7.69,1
14503,183,216,162,274,289,-4.04,-6.83,7.57,1
14603,184,217,159,274,291,-3.84,-6.71,7.45,1
14703,184,212,160,278,289,-4.12,-6.75,7.34,1
14803,184,213,155,276,289,-4.39,-6.86,7.53,1
14903,186,212,158,274,287,-4.63,-6.86,7.57,1
15003,182,217,156,274,287,-4.35,-6.79,7.61,1
15104,182,209,156,276,285,-4.39,-6.75,7.73,1
15203,182,209,155,274,285,-4.08,-6.59,7.22,1
15303,179,208,155,274,285,-4.12,-6.47,7.65,1
15404,179,205,155,272,284,-4.2,-6.47,7.92,1
15503,178,206,152,271,282,-3.84,-6.55,7.34,1
15603,172,200,148,263,275,-4.16,-6.43,7.49,1
15803,178,205,153,269,280,-4.28,-6.55,7.34,1
15903,179,205,155,272,283,-4.71,-6.35,7.92,1
16003,179,208,155,274,285,-4.63,-6.35,8.28,1
16103,178,208,155,273,282,-4.39,-6.39,7.73,1
16203,173,200,149,263,274,-4.2,-6.32,7.81,1
16303,172,199,149,262,274,-4.43,-6.35,8.24,1
16403,178,205,153,270,281,-4.51,-6.32,8.0,1
16503,174,199,149,264,273,-4.43,-6.16,8.32,1
16603,179,205,153,271,282,-4.28,-6.08,8.0,1
16703,178,205,152,270,284,-4.2,-6.12,7.85,1
16803,180,205,154,272,283,-4.28,-6.08,7.85,1
16903,179,206,153,272,280,-4.47,-6.32,8.12,1
17003,178,205,155,270,282,-4.51,-6.12,7.69,1
17103,180,207,154,270,281,-4.28,-6.28,8.2,1
17203,180,207,154,270,282,-4.31,-6.28,8.08,1
17303,180,205,154,270,283,-4.31,-6.35,7.88,1
17403,181,207,153,272,282,-4.16,-6.2,7.92,1
17503,180,207,153,272,283,-4.08,-6.12,8.08,1
17603,180,207,154,271,282,-4.43,-6.16,8.04,1
17703,181,203,153,271,282,-4.63,-6.0,8.0,1
17803,178,206,155,270,282,-4.24,-6.12,8.0,1
17903,179,207,154,272,282,-4.35,-6.2,8.0,1
18003,182,208,153,272,282,-4.12,-6.35,7.96,1
18103,184,208,154,271,279,-4.55,-6.12,7.92,1
18203,183,209,152,271,282,-4.39,-6.04,8.36,1
18304,184,208,152,270,281,-4.28,-6.0,7.77,1
18403,183,207,153,269,277,-4.43,-6.08,8.12,1
18503,180,203,150,270,281,-4.43,-6.04,7.81,1
18604,181,205,153,267,279,-4.28,-6.12,8.08,1
18703,182,206,151,265,276,-4.43,-6.04,8.0,1
18803,179,198,148,261,274,-4.39,-6.08,7.96,1
19003,179,203,150,264,272,-4.16,-6.12,7.77,1
19103,179,201,147,263,273,-4.55,-5.92,8.12,1
19203,178,201,150,262,272,-4.24,-6.12,7.65,1
19303,175,200,148,262,272,-4.2,-6.0,7.81,1
19403,176,199,148,262,271,-4.55,-6.0,7.65,1
19503,177,199,148,261,271,-4.59,-6.04,8.16,1
19603,176,198,148,261,272,-4.43,-6.04,7.92,1
19703,175,198,148,260,271,-4.47,-6.0,7.88,1
19803,175,198,147,261,270,-4.2,-6.2,8.0,1
19903,174,198,142,259,270,-4.55,-6.08,7.85,1
20003,174,196,145,259,268,-4.55,-6.08,8.16,1
20103,174,197,147,259,266,-4.59,-6.08,8.36,1
20203,171,197,146,259,269,-4.35,-6.16,8.12,1
20303,173,197,147,259,269,-4.47,-6.08,8.51,1
20403,173,196,147,258,269,-4.63,-6.12,8.12,1
20503,173,196,146,259,268,-4.31,-5.92,8.12,1
20603,173,197,146,259,269,-4.28,-6.04,8.08,1
20703,174,195,146,258,268,-4.51,-6.24,7.65,1
20803,173,196,146,256,268,-4.31,-6.08,8.24,1
