millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,193,219,163,317,233,-0.9,-5.26,8.71,0
103,190,220,162,315,232,-2.28,-6.28,9.85,1
203,190,219,162,314,230,-1.06,-5.57,9.1,1
303,188,219,161,312,230,-1.77,-6.59,8.71,1
403,185,214,160,308,227,-3.3,-6.83,7.96,1
503,179,209,151,299,220,-2.98,-7.06,8.24,1
603,175,205,151,292,216,-1.61,-6.28,8.36,1
703,166,196,146,280,207,-2.2,-6.55,8.43,1
803,167,194,144,280,241,-3.49,-7.88,8.98,1
903,181,215,158,307,273,-1.41,-6.86,8.16,1
1003,185,215,159,305,284,-1.65,-6.79,7.88,1
1103,184,214,158,303,288,-3.14,-7.14,7.45,1
1203,186,214,159,303,289,-3.22,-7.41,7.77,1
1303,185,211,152,301,291,-3.14,-7.88,7.69,1
1403,187,210,156,300,292,1.65,-6.86,7.61,1
1503,184,208,154,296,289,-1.77,-7.77,6.98,1
1603,180,205,152,291,287,-2.31,-8.55,8.04,1
1703,176,202,150,285,285,-1.26,-8.39,7.45,1
1803,179,205,153,290,284,-1.45,-7.85,7.49,1
1903,180,201,152,290,285,-0.12,-7.57,8.16,1
2003,180,206,153,290,288,-0.51,-7.53,7.88,1
2103,180,207,154,291,286,-1.29,-7.81,7.69,1
2203,181,209,155,294,290,-1.65,-7.88,7.92,1
2304,181,208,156,293,295,-1.65,-7.73,8.04,1
2403,181,208,155,292,288,-0.39,-7.26,7.88,1
2503,181,208,155,292,302,-0.75,-7.69,7.3,1
2604,179,206,154,286,308,-0.39,-8.39,7.57,1
2703,177,205,153,278,295,-0.55,-8.71,6.79,1
2803,172,204,150,273,298,-1.1,-8.28,6.39,1
3003,174,203,151,275,297,-0.59,-8.59,6.98,1
3103,173,199,149,267,289,-0.82,-8.98,6.67,1
3203,180,205,154,276,289,-0.71,-8.94,7.06,1
3303,179,206,156,278,293,-0.75,-8.71,6.83,1
