millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
103,270,202,154,288,209,-0.35,-10.63,1.1,0
203,280,201,154,288,208,-0.35,-10.67,1.1,0
303,239,202,155,289,208,-0.39,-10.63,1.18,0
403,272,202,155,288,208,-0.27,-10.63,1.1,0
503,284,202,155,288,208,-0.47,-10.67,1.18,0
603,265,201,155,287,206,-0.31,-10.67,1.14,0
703,270,202,155,288,208,-0.35,-10.67,1.22,0
803,270,202,156,288,208,-0.27,-10.63,1.26,0
903,268,203,155,288,207,-0.39,-10.59,1.26,0
1003,290,202,155,288,255,-0.51,-10.32,1.14,0
1103,282,202,156,289,238,-0.98,-10.47,0.31,0
1203,285,202,154,287,219,-1.14,-10.12,-0.39,0
1303,259,204,156,289,207,-1.41,-10.12,-1.88,0
1403,221,204,156,290,205,-2.9,-9.61,-3.37,10
1503,187,205,156,290,205,-3.84,-7.26,-4.55,10
1603,220,205,155,289,375,-3.84,-5.45,-6.71,10
1703,211,204,156,292,262,-2.75,-2.71,-8.04,10
1803,263,208,163,299,250,-0.16,0.16,-8.98,10
1903,213,214,172,310,214,1.29,2,-8.67,10
2003,294,217,176,311,212,1.26,2.75,-8.71,10
2103,261,219,177,312,250,1.57,2.9,-8.39,10
2203,379,221,181,319,258,2.31,2.98,-7.57,10
2304,459,233,198,367,281,2.2,3.18,-7.69,10
2403,431,273,244,414,324,2.04,4.08,-7.85,10
2503,487,313,277,442,287,2.39,3.26,-8.75,10
2604,507,344,283,447,396,2.39,2.51,-8.43,10
2703,458,358,290,453,373,2.08,2.75,-8.24,10
2803,433,367,294,456,380,1.37,3.26,-8.08,10
3003,441,374,296,456,446,1.37,3.37,-8.04,10
3103,425,374,299,457,406,1.26,3.37,-8.2,10
3203,439,372,299,459,419,1.65,3.18,-8.28,10
3303,419,356,291,456,439,1.33,3.8,-8.12,10
3403,349,273,216,390,273,0.31,-0.94,-9.06,10
3503,334,222,165,323,234,-0.12,-3.18,-8.75,10
3603,314,207,157,300,236,-1.02,-4.98,-8.83,10
3703,242,204,156,296,253,-1.1,-6.28,-6.71,10
3803,250,202,156,295,213,-1.26,-7.77,-5.92,10
3903,191,202,156,294,214,-1.26,-8.59,-2.28,10
4003,208,202,156,294,227,-0.51,-9.65,0.16,0
4103,225,201,156,293,227,0.12,-10.12,0.47,0
4203,220,202,156,294,209,-0.08,-10,0.98,0
4303,265,202,157,295,215,-0.08,-10.75,0.9,0
4403,237,201,156,294,208,0,-10.75,1.18,0
4503,275,201,156,293,219,-0.08,-10.63,0.98,0
4603,301,202,156,294,237,-0.31,-10.75,1.06,0
4703,275,202,156,294,210,-0.04,-10.55,0.71,0
4803,305,202,157,294,238,-0.31,-10.71,1.06,0
4903,285,202,156,295,210,0.12,-10.32,1.37,0
5003,279,202,156,294,209,-0.51,-10.47,1.29,0
5103,282,203,156,294,213,-1.1,-10.47,0.75,0
5203,290,203,157,294,233,-0.98,-10.12,0.08,0
5303,288,203,156,295,223,-1.49,-9.22,-0.04,0
5403,278,203,155,294,209,-1.8,-8.28,-2.24,10
5504,258,202,156,294,259,-2.98,-7.06,-4.98,10
5603,272,203,156,294,231,-3.69,-4.79,-8.24,10
5703,230,204,157,294,234,-2.08,-3.26,-9.77,10
5804,156,205,157,298,260,-1.14,-2.08,-8.71,10
5903,185,209,161,319,224,-0.55,-0.63,-8.55,10
6003,173,225,177,374,240,0.63,0.16,-8.87,10
6203,305,302,234,422,358,0.16,-0.59,-8.43,10
6303,391,339,275,455,381,0.47,0.08,-8.75,10
6403,367,359,295,467,407,0.47,-0.39,-8.83,10
6503,467,375,305,479,436,0.78,0.08,-8.71,10
6603,503,389,310,480,425,0.71,-0.12,-8.79,10
6703,518,400,311,479,555,1.02,0.04,-8.83,10
6803,516,398,310,475,454,1.37,0.08,-8.9,10
6903,536,367,302,463,538,1.29,0.43,-9.73,10
7003,493,249,196,369,324,-1.06,-2.79,-8.67,10
7103,505,214,162,321,224,-1.69,-4.47,-8,10
7203,456,204,157,305,228,-3.41,-6.35,-5.49,10
7303,386,202,157,299,230,-3.65,-7.69,-3.33,10
7403,353,201,156,298,216,-3.37,-8.55,-1.73,10
7503,361,201,157,297,214,-2.12,-9.65,-0.71,0
7603,367,200,156,296,206,-1.49,-10.08,-0.67,0
7703,300,200,155,295,210,-0.86,-9.92,0.12,0
7803,232,200,156,295,206,-1.22,-10.08,0.43,0
7903,266,200,156,295,210,-0.82,-10.55,0.67,0
8003,197,200,156,294,209,-0.71,-10.43,1.37,0
8103,154,200,156,295,223,-0.78,-10.47,1.45,0
8203,185,200,155,295,211,-0.94,-10.63,1.14,0
8303,180,201,156,295,211,-0.78,-10.59,0.86,0
8403,210,201,156,295,210,-0.98,-10.43,0.67,0
8503,207,203,159,304,217,-1.53,-10.04,-0.27,0
8603,259,219,174,343,258,-1.61,-9.06,-1.77,10
8704,296,229,195,377,240,-4.16,-5.1,-5.3,10
8803,269,239,219,401,280,-3.61,-4.28,-7.88,10
8903,304,251,242,416,270,-0.94,-2.04,-8.98,10
9004,332,262,260,431,286,0.04,-0.2,-8.83,10
9103,310,278,274,448,358,-0.04,0.51,-8.83,10
9203,334,291,288,459,353,0.43,1.26,-8.75,10
9403,349,366,320,491,399,0.75,-0.31,-9.57,10
9503,387,383,324,495,412,1.14,-0.47,-8.67,10
9603,490,391,326,495,400,1.33,-0.04,-8.71,10
9703,490,392,328,492,402,1.41,0.24,-8.94,10
9803,490,387,326,487,410,1.69,0.9,-8.83,10
9903,490,385,325,486,415,1.22,0.24,-8.94,10
10003,490,373,318,483,396,1.22,-0.04,-10.24,10
10103,302,240,212,390,325,-0.55,-3.49,-8.83,10
10203,321,213,167,331,223,-3.22,-6.24,-6.67,10
10303,277,204,158,305,229,-4.47,-7.57,-3.57,10
10403,273,202,157,297,212,-4.47,-8.32,-2.12,10
10503,247,201,156,294,205,-3.41,-9.14,-0.75,0
10603,306,200,156,293,205,-2.2,-9.41,0.04,0
