millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
103,164,203,154,287,282,-0.51,-10.63,1.96,0
203,165,204,155,289,283,-0.47,-10.67,2.16,0
303,165,203,154,287,282,-0.47,-10.63,2.16,0
403,165,203,155,289,283,-0.47,-10.63,2.12,0
503,165,204,155,289,283,-0.47,-10.63,2.16,0
603,164,203,155,289,283,-0.51,-10.55,2.24,0
703,165,204,155,289,283,-0.35,-10.55,2.24,0
803,164,203,154,288,281,-0.47,-10.55,2.24,0
903,165,204,155,288,364,-0.55,-10.4,2.47,0
1003,165,203,155,289,348,-0.67,-9.65,2.28,0
1103,166,203,155,288,337,-2.24,-9.1,1.41,0
1203,169,204,154,289,316,-3.77,-9.53,0.9,0
1303,171,204,156,292,326,-3.96,-9.73,2.24,0
1403,172,204,157,297,327,-4.51,-9.89,2.86,0
1503,179,205,196,366,394,-4.59,-9.85,3.84,11
1603,206,221,254,444,432,-5.45,-7.88,6.79,11
1703,225,239,289,480,460,-5.37,-4.51,9.45,11
1803,230,243,292,484,460,-4.39,-3.84,10.04,11
1903,227,244,290,483,464,-3.92,-3.92,9.34,11
2003,224,243,290,481,465,-4.12,-3.45,9.22,11
2103,224,243,288,476,461,-4,-3.41,9.53,11
2203,220,240,287,470,452,-4.16,-4.86,9.41,11
2304,244,236,285,474,445,-5.73,-5.02,9.34,11
2403,177,213,183,347,365,-4.08,-9.22,6.75,11
2503,165,206,158,301,300,-4.24,-9.65,4.12,0
2604,170,204,155,293,290,-4.51,-9.45,3.53,0
2703,161,201,154,290,279,-3.06,-8.71,2.79,0
2803,162,201,154,290,284,-0.51,-8,2.04,0
3003,161,200,153,288,282,-1.26,-10.87,1.49,0
3103,162,201,153,288,283,-1.26,-11.02,1.26,0
3203,162,202,154,288,283,-0.75,-10.47,1.61,0
3303,162,201,154,291,284,-1.02,-9.73,1.96,0
3403,166,203,181,362,359,-1.29,-7.96,2.2,11
3503,185,211,205,391,424,-4.28,-5.41,3.92,11
3603,205,217,253,449,436,-5.37,-5.73,6.16,11
3703,230,231,290,483,454,-7.22,-4.86,10.51,11
3803,228,245,295,484,441,-5.1,-3.45,11.53,11
3903,223,242,292,483,446,-4.55,-3.3,10.28,11
4003,223,242,290,478,395,-4.28,-2.82,9.45,11
4103,223,244,289,474,409,-4.75,-3.14,9.85,11
4203,220,242,292,473,427,-5.84,-3.8,10.08,11
4303,216,232,294,476,416,-6.79,-6.39,9.18,11
4403,173,210,176,337,384,-4.24,-8.2,5.14,11
4503,244,205,155,297,295,-2.43,-7.49,3.37,0
4603,194,203,154,291,287,-2.82,-8,3.26,0
4703,163,202,154,290,285,-2.55,-8.71,1.96,0
4803,162,201,154,289,283,-1.96,-9.41,2.08,0
4903,209,201,153,289,283,-1.84,-9.53,3.18,0
5003,168,201,153,289,284,-1.92,-10.32,2.55,0
5103,185,201,154,288,284,-1.88,-10.36,2.75,0
5203,196,201,154,289,283,-1.49,-10.4,2.59,0
5303,213,201,153,288,284,-1.18,-10.16,2.16,0
5403,220,201,154,297,287,-1.33,-9.65,2.9,0
5504,167,202,169,345,369,-0.59,-9.49,2.71,11
5603,183,211,210,411,467,-3.3,-6.71,4.86,11
5703,207,222,272,474,517,-7.26,-6.59,7.06,11
5804,224,231,291,467,388,-6.98,-5.96,9.06,11
5903,230,245,293,463,405,-4.79,-6.08,8.36,11
6003,225,244,291,458,397,-4.75,-4.55,9.41,11
6203,221,241,290,452,381,-4.67,-3.77,9.65,11
6303,220,241,290,450,395,-4.63,-3.69,9.57,11
6403,220,241,287,449,398,-5.88,-4.47,10.59,11
6503,213,234,284,464,423,-7.88,-6.47,10.16,11
6603,187,211,179,340,355,-4.67,-7.49,5.37,11
6703,178,204,157,296,293,-3.84,-7.53,3.8,0
6803,180,203,154,291,284,-3.65,-8.04,3.3,0
6903,161,202,154,290,282,-2.55,-9.38,1.49,0
7003,277,201,154,288,281,-0.39,-14.63,0.94,0
7103,195,200,153,287,281,-0.2,-10.67,0.67,0
7203,161,201,153,287,281,-1.41,-10.59,0.63,0
7303,160,200,154,287,281,-1.49,-10.55,0.82,0
7403,181,200,153,288,280,-0.82,-10.55,0.78,0
7503,160,199,153,287,280,-1.1,-10.59,0.55,0
7603,323,199,153,288,281,-1.1,-10.59,0.94,0
7703,161,199,154,288,280,-0.82,-10.51,1.29,0
7803,165,201,157,310,288,-1.02,-9.14,0.39,0
7903,177,206,196,382,387,-3.14,-8.08,2.82,11
8003,209,221,244,433,460,-6.67,-7.57,5.02,11
8103,228,227,289,483,507,-6.08,-6.67,7.57,11
8203,234,238,299,483,449,-4.94,-4.16,10.12,11
8303,227,242,297,480,418,-4.08,-4.08,10.24,11
8403,224,242,295,477,460,-4.75,-3.41,10.94,11
8503,223,241,293,475,451,-4.12,-3.88,9.53,11
8603,224,240,293,474,451,-5.14,-3.77,10.75,11
8704,245,231,279,464,407,-5.26,-6.75,10.4,11
8803,191,216,201,370,365,-4.63,-7.69,6.43,11
8903,169,208,158,304,301,-3.77,-7.49,4.28,0
9004,171,204,155,292,287,-2.63,-8.28,2.98,0
9103,163,202,154,289,282,-1.65,-9.81,2.04,0
9203,244,201,154,288,281,-0.71,-9.92,1.53,0
9403,162,200,153,287,280,-0.04,-10.43,1.69,0
9503,161,200,155,288,281,-0.04,-10.4,2.12,0
9603,162,199,153,287,282,-0.08,-10.4,1.8,0
9703,161,199,154,287,280,-0.43,-10.75,1.53,0
9803,162,199,154,288,280,-0.27,-10.67,1.37,0
9903,162,200,154,288,280,-0.35,-10.4,1.61,0
10003,162,200,154,291,282,-1.1,-10.16,1.33,0
10103,175,202,164,345,324,-0.98,-8.67,2.51,0
10203,201,210,199,391,408,-2.75,-7.06,4.43,11
10303,231,227,256,454,475,-4.79,-5.92,6.47,11
10403,232,233,290,483,515,-4.75,-6.16,8.39,11
10503,233,250,299,488,501,-4.04,-4.79,10.12,11
10603,229,255,298,487,517,-4.63,-4,11.26,11
10703,228,254,294,482,511,-3.88,-3.96,10.36,11
10803,226,256,294,483,497,-3.77,-3.84,10.28,11
10903,224,254,291,477,496,-4.9,-4.86,10.67,11
11003,251,252,291,476,472,-5.73,-5.06,10.63,11
11103,202,219,207,380,370,-4.08,-7.41,6.2,11
11203,168,207,159,303,305,-3.49,-7.53,4.55,0
11303,163,204,154,292,288,-2.59,-8.32,3.37,0
11403,160,202,154,289,285,-2.12,-9.57,2.08,0
11503,167,200,154,288,283,-2.04,-11.14,1.84,0
11603,160,200,153,287,282,-1.41,-10.47,2.04,0
11703,174,200,154,288,282,-1.49,-10.55,2.24,0
11803,160,199,153,288,283,-1.14,-10.43,2.35,0
11904,160,200,154,288,282,-1.14,-10.36,2.43,0
12003,167,199,153,288,283,-1.41,-10.32,1.77,0
12103,261,200,154,288,283,-1.14,-10.36,2.04,0
12204,161,200,153,288,282,-1.02,-10.51,1.92,0
12303,165,203,158,305,289,-0.98,-10.24,1.65,0
12403,180,221,203,402,402,-1.02,-7.49,5.06,11
12603,226,236,277,476,480,-5.06,-5.18,7.22,11
12703,232,245,301,497,464,-4.28,-5.88,9.22,11
12803,230,250,302,497,447,-3.96,-4.35,11.34,11
12903,230,249,300,492,463,-4.12,-4.16,10.51,11
13003,228,251,298,492,425,-4.04,-4.04,10.04,11
13103,225,252,296,485,418,-3.8,-3.92,10.08,11
13203,225,254,296,484,437,-4.63,-5.49,10.4,11
13303,308,248,294,481,412,-6.28,-5.45,9.92,11
13403,188,219,199,377,375,-2.51,-6.83,6.12,11
13503,169,207,158,306,307,-3.22,-8,3.96,0
13603,166,204,155,294,289,-2.75,-8.59,2.43,0
13703,164,202,155,290,285,-2.28,-9.69,2.04,0
13803,166,201,154,289,284,-0.78,-10.08,1.53,0
13903,163,201,154,290,284,-0.78,-10.4,1.8,0
14003,167,200,154,289,284,-0.55,-10.36,1.8,0
14103,164,200,154,290,283,-0.67,-10.87,1.65,0
14203,164,200,154,289,283,-0.71,-10.71,1.61,0
14303,166,200,154,289,282,-0.55,-10.43,1.88,0
14403,165,200,154,290,283,-0.71,-10.47,1.88,0
14503,164,202,158,303,287,-0.63,-9.89,2.43,0
14603,184,219,204,391,391,-2.04,-8.51,4.04,11
14703,226,228,245,433,443,-4.24,-5.41,6.9,11
14803,223,233,287,485,443,-5.45,-4.63,8.59,11
14903,229,248,303,496,442,-5.3,-5.96,10.36,11
15003,229,253,302,494,422,-3.77,-4.75,11.73,11
15104,227,256,298,491,426,-4.08,-4.47,10.59,11
15203,260,259,294,488,454,-4.28,-4.35,10.16,11
15303,230,258,292,486,451,-4.24,-5.69,10.12,11
15404,225,254,293,482,446,-5.41,-5.92,9.02,11
15503,197,226,220,384,393,-3.14,-7.1,5.69,11
15603,173,211,160,310,315,-2.51,-7.85,3.1,0
15803,176,202,154,291,286,-1.14,-10.12,0.98,0
15903,185,200,154,290,284,-0.82,-10.04,1.77,0
16003,161,199,153,288,282,-0.08,-10.59,1.53,0
16103,172,199,154,287,281,-0.08,-10.32,2.08,0
16203,162,200,154,288,281,-0.35,-10.67,1.69,0
16303,177,200,153,288,281,-0.47,-10.63,1.77,0
16403,162,200,153,288,281,-0.31,-10.63,1.57,0
16503,161,200,153,287,281,-0.27,-10.51,1.53,0
16603,175,202,155,302,287,-0.39,-10.43,1.1,0
16703,184,208,185,390,405,-0.98,-7.45,3.02,11
16803,209,221,245,441,444,-3.96,-5.45,5.06,11
16903,220,229,287,488,492,-5.26,-5.41,9.3,11
17003,224,241,301,497,455,-4.35,-4.2,10.51,11
17103,222,243,299,491,428,-4.2,-3.96,10.98,11
17203,255,243,297,485,411,-4.59,-3.45,10.59,11
17303,222,246,293,480,463,-4.43,-3.45,10.36,11
17403,220,244,294,480,457,-5.37,-4.43,11.77,11
17503,220,226,261,432,445,-6.32,-6.28,9.06,11
17603,166,207,164,316,317,-1.33,-7.45,3.22,0
17703,163,203,155,292,290,-2.43,-7.85,2.2,0
17803,161,201,154,289,286,-1.84,-8.71,1.45,0
17903,162,200,153,288,285,-1.92,-9.61,1.33,0
18003,162,199,154,288,285,-1.1,-10,1.41,0
18103,162,199,153,288,285,-1.37,-10.4,1.45,0
18203,185,199,153,288,285,-1.53,-10.24,1.22,0
18304,219,201,154,293,286,-1.18,-9.92,1.06,0
18403,162,207,165,363,346,-0.94,-7.22,3.1,11
18503,172,217,226,427,451,-4.04,-6.28,3.84,11
18604,200,228,280,483,503,-5.1,-7.14,4.08,11
18703,225,242,293,485,513,-6.16,-5.02,6.83,11
18803,230,261,289,479,494,-7.06,-2.39,11.49,11
19003,222,262,282,471,483,-4.94,-2.63,9.53,11
19103,220,260,281,470,508,-5.02,-2.63,9.61,11
19203,221,261,282,471,496,-5.3,-2.9,10.04,11
19303,220,258,285,472,494,-6.32,-3.65,10.87,11
19403,195,228,262,429,450,-4.94,-6.9,9.22,11
19503,168,209,165,313,320,-3.3,-7.77,6.24,0
19603,162,205,155,292,290,-2.86,-7.61,4.75,0
19703,160,202,154,289,286,-3.22,-7.81,3.61,0
19803,160,201,153,288,284,-2.24,-9.22,3.26,0
19903,159,200,153,288,284,-2.63,-10.12,2.82,0
20003,160,200,153,288,283,-2,-10.4,2.59,0
20103,160,200,153,288,284,-1.73,-10.24,2.71,0
20203,161,200,154,289,285,-1.65,-10.24,2.94,0
20303,161,200,154,288,285,-1.73,-10.28,2.71,0
20403,163,201,154,294,286,-1.65,-10.16,2.75,0
20503,177,207,187,375,359,-1.61,-9.65,3.49,11
20603,350,225,215,415,386,-2.82,-5.57,4.94,11
20703,240,231,257,456,469,-4.94,-5.49,7.22,11
20803,247,254,296,487,536,-5.3,-4.63,10.63,11
20903,231,251,299,489,490,-4.9,-4.24,10.2,11
21003,228,248,294,485,448,-3.57,-3.73,10.08,11
21103,226,246,291,481,468,-3.61,-3.57,10.75,11
21203,225,247,290,480,418,-3.57,-3.49,11.06,11
21303,224,248,289,478,410,-4,-4.55,10.71,11
21403,225,246,288,472,438,-5.18,-4.31,10.4,11
21504,189,221,219,385,383,-3.77,-7.02,6.71,11
21603,168,208,162,312,313,-2.51,-8.16,3.61,0
21703,164,204,156,295,291,-2.31,-8.63,2.43,0
21804,162,201,155,290,285,-2.31,-9.65,2.16,0
21903,162,200,154,288,284,-1.69,-9.77,1.69,0
22003,161,199,154,288,281,-1.88,-10.55,1.88,0
22203,161,199,154,290,283,-1.41,-10.36,1.92,0
22303,161,199,154,290,282,-1.57,-10.4,2.04,0
22403,162,199,154,290,282,-1.41,-10.51,1.84,0
22503,162,199,154,289,283,-1.29,-10.43,2,0
22603,162,200,155,298,286,-1.06,-10.2,2.08,0
22703,189,205,176,371,363,-0.47,-8.36,4.94,11
22803,189,217,216,424,458,-2.59,-4.16,7.22,11
22903,206,223,272,478,437,-4.12,-4.98,7.45,11
23003,270,236,296,490,439,-2.59,-4.79,9.53,11
23103,309,250,295,487,421,-3.49,-4.71,11.1,11
23203,229,251,293,486,414,-4.12,-4.59,11.65,11
23303,227,251,290,481,431,-3.26,-4.04,10.55,11
23403,226,250,287,479,435,-3.41,-3.88,10.08,11
23503,225,252,287,478,445,-4.2,-4.55,10.67,11
23603,228,252,286,475,450,-3.84,-4.71,9.73,11
23703,227,248,286,473,454,-3.84,-4.79,8.36,11
23803,189,223,225,400,369,-1.1,-7.92,4.51,11
23903,167,207,159,297,299,-2.63,-7.85,4.67,0
24003,164,202,154,289,286,-2.08,-8.98,2.24,0
24103,161,199,153,288,283,-2.31,-10,3.02,0
24203,171,199,153,288,283,-2.04,-10.2,2,0
24303,237,198,153,287,282,-1.69,-10.4,2,0
24403,162,199,153,286,282,-1.61,-10.47,2.55,0
24503,222,199,153,287,282,-1.41,-10.43,2.08,0
24603,203,198,153,287,282,-2,-10.51,1.61,0
24704,164,199,154,290,283,-1.77,-10.2,1.84,0
24803,180,207,154,320,309,-0.12,-9.85,1.77,0
24903,206,216,200,402,435,-2.47,-7.85,5.41,11
25004,242,228,265,464,481,-3.53,-5.37,6.24,11
25103,230,236,291,485,497,-5.18,-5.18,7.88,11
25203,234,249,295,485,512,-4.47,-5.18,10.12,11
25403,230,253,292,482,437,-3.65,-4.98,11.49,11
25503,229,255,292,482,537,-4.79,-4.79,11.18,11
25603,230,255,291,479,460,-3.84,-4.24,9.89,11
25703,229,255,289,476,579,-3.41,-4.86,8,11
25803,222,251,289,472,489,-3.14,-5.77,6.2,11
25903,183,217,193,359,355,-1.57,-7.69,4.24,11
26003,176,208,158,304,301,-2.51,-9.02,2.86,0
26103,180,204,155,293,288,-2.35,-10.94,2.67,0
26203,165,203,154,290,284,-1.77,-10.59,2.24,0
26303,164,203,155,290,285,-1.41,-10.59,2.08,0
26403,163,202,154,289,284,-1.37,-10.4,2.08,0
26503,164,202,154,289,284,-2.24,-10.51,2.59,0
26603,164,202,154,290,284,-1.33,-10.43,2.08,0
26703,164,202,154,289,283,-1.14,-10.43,2.24,0
26803,165,202,155,292,283,-2.67,-10.43,2.86,0
26903,176,209,220,410,416,0.08,-9.45,3.33,11
27003,204,221,272,466,471,-3.73,-6.16,6.94,11
27103,313,232,297,491,591,-5.1,-4.67,8.04,11
27203,229,246,298,490,534,-2.75,-5.1,10.43,11
27303,224,262,296,485,516,-2.98,-4.31,12.59,11
27403,222,264,292,481,495,-2.67,-3.69,11.89,11
27503,222,263,288,479,487,-2.47,-3.41,10.63,11
27603,221,260,288,476,485,-3.1,-3.77,12.32,11
27703,220,253,289,476,481,-3.88,-4.55,12.12,11
