millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
103,168,269,159,284,216,-0.27,-10.67,1.88,0
203,167,267,159,284,216,-0.27,-10.63,1.73,0
303,167,264,159,284,216,-0.24,-10.67,1.88,0
403,167,264,159,284,216,-0.04,-10.63,1.96,0
503,167,266,159,284,216,-0.24,-10.67,1.8,0
603,168,264,159,284,216,-0.35,-10.67,1.8,0
703,168,263,159,284,216,-0.16,-10.67,1.77,0
803,167,262,159,284,216,-0.08,-10.67,2,0
903,168,262,159,284,216,-0.24,-10.59,1.84,0
1003,168,259,159,284,216,-0.2,-10.67,1.92,0
1103,168,259,159,284,216,-0.08,-10.59,1.84,0
1203,168,260,159,284,216,-0.27,-10.67,1.84,0
1303,167,259,159,284,216,-0.16,-10.63,1.84,0
1403,168,257,159,285,217,-0.39,-10.67,2.16,0
1503,169,249,162,297,237,-0.43,-10.71,2.16,0
1603,174,314,198,375,274,-0.31,-10.83,1.61,30
1703,180,270,255,449,322,0.12,-10.94,2.12,30
1803,183,249,277,481,338,0.55,-10.12,0.08,30
1903,192,293,296,503,344,-1.73,-7.57,-2.43,30
2003,200,288,302,512,339,-4.9,-7.02,-2.9,30
2103,209,259,311,519,341,-7.1,-5.06,-5.81,30
2203,203,311,313,522,342,-6.75,-4.55,-5.81,30
2304,199,305,313,522,338,-6.63,-1.18,-6.75,30
2403,197,217,313,520,335,-7.1,-0.47,-6.86,30
2503,195,241,312,515,331,-6.55,-0.9,-6.47,30
2604,193,237,309,510,328,-6,-1.57,-6.24,30
2703,191,319,307,505,323,-6.47,-0.67,-7.02,30
2803,191,214,304,501,315,-6.12,-1.88,-7.22,30
3003,204,215,304,499,305,-5.18,-8.28,-2.79,30
3103,203,282,280,465,275,-3.02,-8.47,1.18,30
3203,167,324,167,299,216,-1.22,-9.96,1.8,0
3303,161,216,155,283,204,0.35,-10.16,1.96,0
3403,160,371,154,280,203,0,-10.63,1.57,0
3503,159,374,154,279,202,0.31,-10.79,1.73,0
3603,159,211,154,278,203,0.16,-10.71,1.18,0
3703,159,210,154,278,202,0.63,-10.71,1.37,0
3803,158,218,154,278,203,0.35,-10.63,1.26,0
3903,158,259,154,278,203,0,-10.59,1.1,0
4003,158,287,154,278,204,0.43,-10.79,1.69,0
4103,159,229,154,279,204,0.31,-10.79,0.98,0
4203,159,273,154,279,205,-0.16,-10.79,1.22,0
4303,159,290,155,279,205,0,-10.59,1.22,0
4403,159,307,155,280,206,-0.31,-10.51,0.75,0
4503,159,304,155,280,206,-0.51,-10.71,0.47,0
4603,159,309,155,281,207,0.04,-10.67,0.67,0
4703,159,253,155,281,208,-0.2,-10.67,1.29,0
4803,160,217,157,284,211,-0.9,-10.75,0.43,0
