millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
4,193,220,159,287,320,-2.67,-9.81,3.18,0
103,192,220,158,287,314,-3.18,-9.92,3.18,0
203,190,216,155,283,308,-3.33,-10.08,2.63,0
303,190,217,157,282,306,-2.79,-10.04,2.2,0
403,189,218,157,281,305,-2.43,-10.12,2.08,0
503,186,214,155,280,300,-2.71,-10.28,1.96,0
603,186,214,155,281,299,-2.75,-10.2,1.92,0
703,189,213,155,281,297,-3.18,-10.12,2.2,0
803,188,215,154,279,298,-2.94,-10.12,1.77,0
903,188,213,155,279,297,-2.71,-10.08,1.73,0
1003,187,211,155,279,297,-2.86,-10.12,1.96,0
1103,188,210,155,279,296,-2.82,-10.12,1.73,0
1203,188,210,155,279,296,-3.06,-10.2,2.04,0
1303,188,212,155,279,296,-2.86,-10.08,2.28,0
1403,188,212,155,279,296,-2.63,-10.08,1.73,0
1503,188,212,155,279,293,-2.63,-10.08,1.69,0
1603,189,212,155,279,298,-2.67,-10.12,1.8,0
1703,190,214,155,279,296,-2.59,-10.28,1.69,0
1803,188,216,156,280,293,-2.67,-10.12,1.73,0
1903,188,215,152,279,295,-2.79,-10.16,2,0
2003,190,212,155,279,292,-2.51,-10.16,1.53,0
2103,188,216,156,279,296,-2.59,-10.12,1.65,0
2203,188,212,156,280,296,-2.67,-10.16,1.69,0
2304,191,217,155,278,297,-2.55,-10.2,1.65,0
2403,189,218,156,279,297,-2.67,-10.08,1.73,0
2503,190,214,157,281,295,-2.67,-10.2,1.69,0
2604,190,217,153,280,295,-2.67,-10.2,1.69,0
2703,188,212,155,280,294,-2.63,-10.08,1.57,0
2803,190,212,153,278,294,-2.63,-10.16,1.77,0
3003,189,214,153,278,293,-2.47,-10.32,1.65,0
3103,186,212,154,277,295,-2.55,-10.24,1.57,0
3203,190,214,154,278,290,-2.55,-10.2,1.69,0
3303,188,211,155,279,293,-2.59,-10.24,1.73,0
3403,189,211,155,278,293,-2.51,-10.2,1.45,0
3503,188,210,155,276,292,-2.55,-10.2,1.53,0
3603,188,208,154,278,292,-2.59,-10.24,1.65,0
