millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,165,199,155,279,278,0.86,-10.36,-1.22,0
103,164,198,155,279,277,0.9,-10.51,-1.37,0
203,163,197,154,279,277,0.94,-10.36,-1.26,0
303,163,197,154,277,276,1.02,-10.43,-1.06,0
403,163,197,154,279,276,1.06,-10.36,-1.18,0
503,163,197,154,279,276,1.02,-10.43,-1.22,0
603,163,197,154,279,276,1.14,-10.28,-1.14,0
703,162,198,154,279,275,1.02,-10.4,-1.18,0
803,163,197,155,280,275,1.06,-10.43,-1.14,0
903,163,197,155,280,276,0.86,-10.59,-1.29,0
1003,165,204,167,300,278,1.37,-10.43,-1.49,0
1103,176,228,194,368,302,1.18,-10.71,-1.06,9
1203,187,250,230,417,393,0.94,-11.45,-0.71,9
1303,191,263,252,445,436,1.29,-11.06,-1.92,9
1403,192,273,266,457,450,2.35,-9.81,-1.69,9
1503,190,282,271,460,448,4.79,-8.55,-0.39,9
1603,189,291,276,456,449,7.3,-7.81,-0.2,9
1703,190,300,278,455,451,7.88,-7.57,0.35,9
1803,191,306,277,454,450,8.24,-6.98,0.51,9
1903,192,311,275,451,448,9.41,-6.16,0.04,9
2003,194,312,276,450,447,8.94,-5.69,-0.08,9
2103,194,314,277,451,450,9.34,-6.67,-0.27,9
2203,193,311,279,451,447,9.53,-7.02,0.39,9
2304,184,292,272,431,421,6.94,-8.16,0.08,9
2403,179,265,239,376,341,4.63,-8.63,-0.82,9
2503,170,212,173,306,300,2.43,-10.16,-0.55,0
2604,166,199,155,284,289,1.92,-10.79,0.08,0
2703,164,197,153,282,284,1.33,-11.02,0.35,0
2803,162,197,153,281,282,0.9,-10.47,0.78,0
3003,162,196,154,280,280,0.12,-10.67,0.98,0
3103,162,196,153,280,279,-0.04,-10.87,1.14,0
3203,162,197,153,279,279,0.04,-10.83,1.02,0
3303,162,197,154,280,279,0.04,-10.79,1.18,0
3403,162,196,154,281,278,0.16,-10.79,0.98,0
3503,162,197,154,281,279,0.12,-10.75,0.71,0
3603,162,197,156,282,280,-0.2,-11.02,-0.04,0
3703,168,207,173,300,283,0.35,-11.41,-0.59,0
3803,187,238,221,389,337,1.53,-10.32,-1.14,9
3903,196,267,258,433,414,3.8,-8.9,-1.14,9
4003,198,291,277,455,440,6.83,-7.92,-2.12,9
4103,199,305,284,461,451,7.41,-7.61,-1.88,9
4203,200,315,286,466,456,7.88,-6.79,-2.08,9
4303,201,313,285,467,456,8.16,-6.59,-2.16,9
4403,202,312,282,462,452,9.1,-5.96,-2.04,9
4503,202,308,281,455,447,9.06,-6.04,-2.16,9
4603,202,306,279,451,446,9.49,-6,-1.77,9
4703,196,299,280,451,442,7.1,-7.02,-0.9,9
4803,185,264,258,419,403,5.06,-8.12,-0.27,9
4903,173,215,179,316,310,2,-9.85,-0.55,9
5003,168,199,158,286,290,0.75,-10.51,0,0
5103,166,197,154,283,284,0.59,-10.71,0.59,0
5203,166,197,155,281,281,0.75,-10.63,0.16,0
5303,164,196,154,281,281,0.43,-13.77,2.43,0
5403,165,196,153,280,279,0.04,-10.87,0.94,0
5504,164,196,154,280,278,0.43,-10.75,0.9,0
5603,165,195,155,280,279,0.08,-10.79,0.9,0
5703,164,196,154,280,278,0.16,-10.67,0.86,0
5804,164,195,154,280,277,0.31,-10.63,1.06,0
5903,165,196,155,281,278,0.12,-10.75,0.94,0
6003,170,200,166,290,280,0.08,-11.65,0.47,0
6203,192,249,243,421,401,2.04,-10.04,-0.86,9
6303,195,270,266,453,443,3.61,-8.63,-1.57,9
6403,197,291,281,469,465,4.67,-7.88,-1.84,9
6503,198,306,288,475,474,6.79,-7.88,-1.69,9
6603,199,317,286,476,475,8.87,-7.34,-2.16,9
6703,200,317,283,471,470,9.18,-6.9,-2.63,9
6803,202,315,284,468,468,9.02,-6.2,-2.51,9
6903,203,312,281,464,465,8.43,-6.04,-2.2,9
7003,198,304,281,458,457,9.53,-6.67,-1.69,9
7103,190,291,273,443,431,6.47,-8.59,-1.73,9
7203,182,256,238,392,358,4.86,-9.57,-0.55,9
7303,170,210,172,310,302,2.55,-9.96,-0.31,9
7403,166,199,157,286,288,1.49,-10.04,0.71,0
7503,166,197,155,282,283,1.37,-10.51,1.69,0
7603,164,196,155,281,282,1.41,-10.75,1.1,0
7703,164,196,154,281,281,1.8,-10.75,2.16,0
7803,163,196,153,279,280,1.29,-10.63,1.41,0
7903,164,196,154,281,280,1.06,-10.79,0.9,0
8003,163,196,154,280,279,0.9,-10.71,1.22,0
8103,163,196,154,280,279,1.22,-10.71,1.18,0
8203,163,196,155,281,279,1.14,-10.67,1.14,0
8303,163,196,155,281,279,0.47,-10.79,1.29,0
8403,163,196,156,283,279,0.35,-10.75,1.26,0
8503,165,207,170,326,287,0.43,-11.45,0.63,0
8603,175,240,210,391,351,1.45,-10.4,-0.16,9
8704,184,276,253,430,420,3.96,-8.94,-0.82,9
8803,192,304,276,455,451,6.28,-7.85,-1.65,9
