millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,198,232,179,304,313,0,0,0,0
103,182,213,159,288,299,-2.79,-10.2,0.86,0
203,183,217,162,289,300,-3.06,-10.12,0.94,0
303,191,222,170,295,308,-3.14,-10.08,0.78,0
403,200,232,178,303,313,-3.45,-10.08,0.94,0
503,204,236,183,308,318,-3.26,-10.04,1.22,0
603,195,227,173,300,310,-3.14,-10,1.06,0
703,201,236,179,305,313,-3.33,-9.96,1.26,0
803,197,232,175,301,311,-3.14,-9.96,1.18,0
903,197,231,174,300,310,-3.18,-9.89,1.26,0
1003,198,232,174,298,311,-3.37,-9.96,1.33,0
1103,195,232,175,301,311,-3.22,-9.92,1.22,0
1203,198,232,175,301,311,-3.3,-9.92,1.06,0
1303,187,222,163,292,302,-3.3,-9.96,1.18,0
1403,196,232,174,300,310,-3.26,-10.04,1.29,0
1503,195,230,174,299,309,-3.33,-9.96,1.14,0
1603,188,222,166,294,304,-3.33,-10,1.18,0
1703,199,235,177,301,313,-3.37,-10.04,1.33,0
1803,202,232,178,307,315,-3.22,-10,1.33,0
1903,201,235,177,305,314,-3.33,-10,1.37,0
2003,201,235,173,304,313,-3.26,-9.96,1.37,0
2103,202,234,177,305,312,-3.33,-10,1.26,0
2203,195,229,172,299,307,-3.22,-9.96,1.33,0
2304,194,229,171,298,306,-3.3,-10.04,1.22,0
2403,192,229,170,298,307,-3.22,-10.04,1.18,0
2503,197,228,173,300,310,-3.37,-10,1.22,0
2604,203,233,179,305,314,-3.33,-9.92,1.29,0
2703,205,241,183,306,317,-3.3,-10,1.14,0
2803,205,240,181,306,317,-3.33,-9.96,1.1,0
3003,202,238,179,307,314,-3.41,-9.92,1.29,0
3103,202,238,179,303,313,-3.33,-9.96,1.33,0
3203,201,236,177,306,312,-3.3,-9.96,1.22,0
3303,203,237,180,305,316,-3.33,-9.96,1.33,0
3403,199,238,179,305,313,-3.26,-10,1.18,0
3503,202,238,178,306,314,-3.41,-10,1.29,0
3603,198,234,179,307,314,-3.57,-10,1.29,0
3703,198,234,177,304,310,-3.49,-9.92,1.22,0
3803,200,233,178,293,311,-3.41,-9.89,1.06,0
3903,201,235,178,305,312,-3.45,-9.92,1.53,0
4003,200,235,176,304,312,-3.3,-10,1.29,0
4103,198,235,178,305,313,-3.22,-10.04,1.33,0
4203,208,236,180,305,314,-3.26,-9.92,1.41,0
4303,198,235,180,305,300,-3.3,-9.92,1.22,0
4403,171,224,166,295,303,-3.96,-10.08,0.75,0
4503,186,224,165,295,302,-3.18,-10.08,1.22,0
4603,198,241,180,315,311,-3.8,-8.67,0.43,0
4703,228,272,206,373,329,-5.1,-8.12,-0.55,0
4803,221,267,227,408,330,-6.32,-7.81,-2.24,0
4903,235,279,275,459,360,-6.67,-4.47,-4.51,6
5003,269,309,349,546,451,-5.02,-3.37,-6.94,6
5103,232,284,328,539,548,-4.2,-2.35,-9.38,6
5203,228,261,236,506,520,-2.31,-0.27,-7.96,6
5303,217,227,166,465,478,-0.24,4.12,-7.57,6
5403,222,215,161,467,483,-0.82,6.12,-8.63,6
5504,226,261,158,463,486,-0.12,6.12,-6.94,6
5603,228,222,159,457,485,-0.94,5.81,-6.9,6
5703,233,228,160,451,470,-1.73,5.84,-6.67,6
5804,229,229,159,469,469,-0.59,5.84,-7.53,6
5903,228,215,160,457,460,-0.24,5.18,-7.92,6
6003,228,260,161,462,462,0.24,5.37,-7.45,6
6203,228,233,160,453,456,0,4.9,-6.94,6
6303,229,227,161,452,448,-0.82,4.59,-7.88,6
6403,229,226,161,454,446,-0.55,4.75,-7.1,6
6503,229,221,161,453,443,-1.22,4.63,-7.65,6
6603,230,231,160,459,444,0.16,4.2,-7.02,6
6703,231,217,160,455,444,-0.9,4.04,-8.16,6
6803,230,230,160,457,442,0.16,4.39,-7.22,6
6903,224,234,159,455,442,-0.82,3.57,-7.57,6
7003,220,224,160,453,437,-0.98,3.84,-7.81,6
7103,215,224,166,367,373,-1.53,3.18,-8.71,6
7203,191,235,166,338,365,-2.9,1.65,-8.59,0
7303,189,234,166,320,359,-3.92,-1.1,-7.65,0
7403,188,233,163,304,339,-5.06,-4,-6.9,0
7503,194,235,168,307,340,-4.86,-5.61,-5.45,0
7603,243,276,219,352,381,-4.39,-6.43,-4.43,6
7703,261,297,239,362,391,-4.82,-6.75,-3.45,6
7803,236,273,212,341,370,-4.55,-8.51,-3.3,0
7903,192,242,174,307,337,-4.31,-9.02,-2.16,0
8003,183,234,165,296,317,-4,-9.53,-1.69,0
8103,188,224,166,295,319,-3.84,-9.53,-0.86,0
8203,186,222,164,295,318,-3.45,-9.85,0.43,0
8303,198,229,177,301,321,-3.18,-9.73,0.27,0
8403,229,260,207,328,348,-2.9,-10,0.35,0
8503,183,216,162,284,309,-2.98,-10.04,0.55,0
8603,183,214,161,286,307,-3.1,-10.04,0.71,0
8704,183,217,161,287,306,-2.79,-9.92,0.71,0
8803,182,216,159,285,305,-2.9,-10.12,0.55,0
8903,182,210,161,285,304,-2.79,-10.12,0.59,0
9004,183,215,162,285,306,-3.02,-10.2,0.51,0
9103,189,220,163,325,317,-2.55,-10.08,0.59,0
9203,211,231,168,442,374,-4,-8.43,1.06,6
9403,208,231,185,440,444,-3.45,-8.16,-1.49,6
9503,205,232,178,424,440,-4.24,-7.3,-3.06,6
9603,203,229,174,420,431,-4.04,-6.86,-5.14,6
9703,195,218,170,425,438,-3.45,-5.02,-5.65,6
9803,274,275,247,503,438,-3.96,-3.96,-7.92,6
9903,263,282,248,532,499,-3.37,-2.28,-7.85,6
