millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
4,180,202,154,273,291,-2.79,-8.12,7.22
103,179,201,151,273,290,-3.33,-8,6.43
203,177,200,152,271,285,-3.92,-8.2,6.55
303,176,200,152,269,283,-4.12,-8.24,6.12
403,175,200,152,269,283,-3.88,-8.12,5.53
503,173,197,150,265,275,-4.04,-8.2,6.16
603,171,194,148,260,273,-3.8,-8.36,5.88
703,167,190,145,257,266,-3.73,-8.59,5.53
803,172,197,149,263,274,-3.96,-8.51,5.84
903,170,197,149,264,271,-3.88,-8.32,5.69
1003,172,198,151,265,275,-3.92,-8.36,6.12
1103,169,197,148,263,275,-4.2,-8.36,5.61
1203,170,198,151,265,276,-3.88,-8.24,6.08
1303,172,200,151,266,275,-3.84,-8.32,6.83
1403,174,199,151,265,279,-3.8,-8.28,6
1503,173,197,150,266,273,-3.22,-8.36,5.96
1603,170,201,154,266,275,-3.14,-8.43,6.08
1703,173,202,149,265,277,-3.18,-8.59,6.12
1803,172,203,151,264,275,-2.98,-8.63,5.88
1903,174,205,150,265,277,-3.33,-8.55,6.08
2003,172,198,153,267,278,-3.3,-8.28,5.92
2103,174,202,153,266,278,-3.3,-8.39,5.92
2203,173,201,153,268,277,-3.14,-8.47,6.39
2304,173,201,153,273,277,-2.86,-8.36,6.71
2403,178,201,153,267,270,-2.67,-8.32,6.35
2503,173,200,153,268,279,-2.75,-8.43,6.28
2604,174,203,153,269,279,-3.06,-8.43,6.47
2703,173,200,154,263,279,-2.67,-8.32,5.92
2803,173,201,152,264,277,-3.26,-8.28,6.59
3003,169,194,146,263,271,-3.02,-8.04,6.47
3103,167,193,148,259,269,-3.53,-8.04,6.24
3203,170,196,151,265,274,-3.65,-8.16,6.39
3303,171,199,152,264,275,-2.94,-7.92,6
3403,172,199,152,265,276,-3.26,-8.04,7.22
3503,171,200,151,265,275,-2.98,-7.81,6.51
3603,172,200,153,266,276,-3.37,-8.2,6.83
3703,173,198,153,266,274,-3.37,-8.04,6.75
3803,173,201,152,266,277,-3.02,-7.85,6.86
