millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
3,154,203,148,267,200,2.28,-10.55,1.06
103,154,204,147,267,200,2.47,-10.51,1.1
203,154,203,148,267,200,2.71,-10.55,1.1
303,155,203,147,267,200,2.55,-10.55,1.14
403,155,204,148,268,201,2.59,-10.59,0.98
503,154,203,147,268,201,2.55,-10.55,0.94
603,155,203,148,268,201,2.51,-10.55,1.14
703,154,203,148,268,201,2.67,-10.51,0.98
803,155,204,148,268,201,2.59,-10.59,1.14
903,155,203,148,268,201,2.63,-10.47,1.14
1003,154,203,148,268,202,2.47,-10.43,1.14
1103,155,203,148,268,201,2.55,-10.43,1.14
1203,155,203,148,268,201,2.63,-10.47,1.18
1303,155,203,148,268,201,2.71,-10.43,1.06
1403,154,203,147,269,202,2.71,-10.47,1.1
1503,154,203,148,269,202,2.55,-10.51,1.1
1603,155,204,148,268,201,2.67,-10.51,1.1
1703,154,204,148,268,201,2.71,-10.51,1.26
1803,155,204,148,268,202,2.59,-10.59,1.14
1903,155,204,148,268,201,2.63,-10.43,1.02
2003,156,204,148,269,201,2.51,-10.47,1.18
2103,155,203,148,268,201,2.59,-10.43,1.1
2203,155,204,148,268,202,2.55,-10.47,1.22
2304,155,204,148,268,201,2.75,-10.43,1.18
2403,155,204,148,269,202,2.59,-10.47,1.06
2503,155,203,148,268,202,2.59,-10.47,1.14
2604,155,203,147,268,202,2.59,-10.47,1.18
2703,155,203,148,269,202,2.67,-10.55,1.18
2803,155,204,148,269,202,2.59,-10.51,1.06
3003,155,204,148,268,202,2.59,-10.55,1.14
3103,155,204,148,268,202,2.59,-10.55,1.1
3203,155,204,147,269,201,2.63,-10.51,1.14
3303,155,204,148,268,202,2.59,-10.55,1.18
3403,155,204,149,268,202,2.59,-10.47,1.02
3503,155,204,148,269,202,2.59,-10.51,1.1
3603,155,204,149,269,201,2.63,-10.43,1.18
3703,155,203,148,268,202,2.67,-10.47,1.22
3803,155,204,148,268,202,2.63,-10.51,1.02
3903,154,204,148,268,202,2.63,-10.51,1.18
4003,155,204,148,268,202,2.71,-10.55,1.14
4103,155,204,148,268,202,2.67,-10.55,1.1
4203,155,204,148,268,202,2.67,-10.63,1.14
4303,154,204,148,268,202,2.71,-10.51,1.02
4403,155,204,148,268,202,2.9,-10.47,1.06
4503,155,203,148,268,201,2.75,-10.4,1.1
4603,155,204,148,268,202,2.94,-10.47,0.98
4703,155,204,148,269,202,2.75,-10.47,1.02
4803,155,204,148,267,202,2.28,-10.59,0.86
4903,154,203,149,268,201,2.28,-10.63,1.1
5003,155,204,148,267,201,1.92,-10.55,1.1
5103,155,203,149,268,201,1.92,-10.79,1.1
5203,155,204,148,268,201,2.43,-10.4,0.43
5303,154,203,148,268,201,2.67,-10.43,0.82
5403,155,204,148,267,201,2.55,-10.59,1.1
5504,155,203,149,268,201,2.51,-10.67,0.86
5603,154,204,148,268,201,2.82,-10.51,0.94
5703,154,204,148,268,202,2.51,-10.47,0.63
5804,154,204,148,268,201,2.55,-10.55,0.94
5903,155,203,148,269,202,3.1,-10.43,0.82
6003,154,203,147,268,202,2.59,-10.51,0.78
6203,155,204,148,268,202,2.59,-10.51,0.75
6303,155,203,148,268,202,2.63,-10.43,0.82
6403,154,204,147,269,202,2.51,-10.43,0.67
6503,155,203,147,269,202,2.28,-10.51,0.9
6603,154,203,147,268,202,2.24,-10.59,0.86
6703,155,204,147,269,202,2.24,-10.59,1.02
6803,155,204,147,269,202,2.39,-10.59,0.98
6903,154,203,148,268,202,2.08,-10.59,0.86
7003,154,204,148,269,202,1.73,-10.67,1.14
7103,155,204,148,270,202,2.16,-10.55,0.94
7203,155,204,148,269,202,2.04,-10.59,0.86
7303,155,204,147,268,202,1.96,-10.59,0.82
7403,155,203,147,269,202,1.8,-10.63,0.86
7503,155,204,148,269,202,1.8,-10.59,0.71
7603,155,203,148,269,202,1.84,-10.63,1.02
7703,155,204,148,269,202,1.77,-10.59,0.75
7803,155,204,148,268,202,1.49,-10.71,0.82
7903,155,204,148,268,202,2.04,-10.63,0.9
8003,155,204,149,269,202,1.96,-10.63,1.02
8103,155,204,148,268,202,1.96,-10.71,1.06
8203,155,204,149,268,202,1.73,-10.71,1.02
8303,155,204,149,268,202,1.92,-10.67,0.9
8403,155,204,149,268,203,1.53,-10.71,0.82
8503,155,204,149,269,203,1.77,-10.83,0.59
8603,155,204,149,268,202,1.65,-10.63,1.1
8704,155,204,150,269,204,1.61,-10.63,0.9
8803,155,204,150,269,203,1.8,-10.63,0.9
8903,155,204,150,269,203,1.73,-10.59,1.06
9004,155,204,150,268,203,2.04,-10.67,0.9
9103,155,204,150,269,203,1.88,-10.71,1.02
9203,155,204,151,269,203,1.69,-10.79,0.78
9403,156,203,150,268,203,1.53,-10.63,0.86
9503,155,204,150,268,202,1.84,-10.79,1.22
9603,155,203,149,268,203,1.92,-10.67,0.75
9703,155,203,150,269,203,1.77,-10.63,0.67
9803,155,203,149,268,203,1.53,-10.63,0.82
9903,155,203,150,268,203,1.8,-10.63,0.94
10003,155,203,149,268,203,1.92,-10.67,0.86
10103,155,203,150,270,204,1.88,-10.75,0.86
10203,155,203,149,269,204,1.69,-10.71,1.1
10303,155,204,149,268,204,1.8,-10.67,1.18
10403,155,204,148,269,203,1.69,-10.63,0.98
10503,156,203,149,268,204,1.77,-10.71,0.9
10603,155,204,148,269,204,1.77,-10.67,0.94
10703,155,203,148,268,204,1.77,-10.63,1.14
10803,156,203,148,269,204,1.73,-10.63,0.9
10903,154,203,147,268,204,1.57,-10.71,0.75
11003,156,203,148,269,205,1.69,-10.67,0.82
11103,156,203,147,269,204,1.8,-10.55,1.1
11203,156,204,148,269,204,1.65,-10.67,0.94
11303,156,203,147,269,204,1.8,-10.59,1.06
11403,156,203,148,269,204,1.88,-10.67,0.98
11503,156,203,148,269,204,1.77,-10.59,1.02
11603,156,204,148,269,204,1.8,-10.59,0.71
11703,156,203,148,269,205,1.8,-10.59,0.75
11803,156,204,148,269,204,1.77,-10.59,1.02
11904,156,204,148,269,204,1.61,-10.63,0.82
12003,156,203,148,269,204,1.65,-10.67,0.78
12103,156,204,148,269,204,1.65,-10.63,0.78
12204,156,204,148,269,205,1.73,-10.67,0.86
12303,156,203,147,269,204,1.65,-10.63,0.9
12403,157,204,148,270,204,1.65,-10.63,1.02
12603,156,204,149,270,205,1.84,-10.63,0.98
12703,156,203,149,269,204,1.77,-10.59,0.86
12803,156,204,148,270,204,1.57,-10.63,0.71
12903,156,204,149,270,204,1.73,-10.75,0.71
13003,156,204,149,270,204,1.73,-10.71,0.9
13103,157,204,149,270,204,1.73,-10.67,0.86
13203,157,203,149,270,205,1.69,-10.67,0.86
13303,157,204,149,270,204,1.73,-10.67,0.86
13403,157,204,150,270,204,1.8,-10.63,0.67
13503,156,204,150,271,204,1.8,-10.67,0.78
13603,156,204,150,271,204,1.65,-10.63,0.9
13703,156,204,150,271,204,1.84,-10.63,0.9
13803,156,204,150,271,204,1.92,-10.55,0.86
13903,156,204,151,271,204,1.88,-10.67,0.71
14003,156,204,149,272,205,2.12,-10.63,0.75
14103,156,204,150,272,204,2,-10.63,0.9
14203,156,204,150,272,204,1.88,-10.67,0.94
14303,156,204,150,272,204,1.92,-10.63,1.22
14403,156,204,150,271,204,2.12,-10.43,1.02
14503,156,204,149,271,203,2.12,-10.71,0.82
14603,156,204,150,270,203,2,-10.67,1.26
14703,155,203,148,270,202,1.84,-10.75,1.61
14803,155,203,149,270,202,2.2,-10.63,1.06
14903,155,203,149,269,201,1.88,-10.71,1.02
15003,156,203,149,270,201,1.61,-10.71,1.37
15104,155,203,148,269,201,1.84,-10.63,1.18
15203,155,203,149,269,200,1.77,-10.59,1.22
15303,155,203,148,269,200,1.29,-10.67,0.98
15404,155,203,148,269,201,1.29,-10.67,0.78
15503,155,204,149,269,200,1.41,-10.63,1.06
15603,155,203,147,269,201,1.41,-10.63,0.9
15803,155,203,148,269,201,1.29,-10.67,0.75
15903,155,203,148,269,200,1.33,-10.79,0.63
16003,155,203,148,270,200,1.61,-10.59,0.71
16103,155,203,148,269,201,1.18,-10.63,1.02
16203,155,203,148,269,200,1.22,-10.63,0.94
16303,155,203,148,270,201,1.49,-10.63,1.06
16403,155,204,147,270,201,1.41,-10.67,0.98
16503,155,204,147,271,201,1.57,-10.71,0.98
16603,155,203,148,270,201,1.49,-10.63,1.29
16703,155,204,148,270,202,1.41,-10.67,1.22
16803,155,204,148,270,202,1.41,-10.71,1.06
16903,155,204,149,270,201,1.65,-10.63,1.06
17003,155,203,149,271,204,1.37,-10.79,1.22
17103,155,204,149,270,203,1.49,-10.75,1.14
17203,155,203,149,271,203,1.65,-10.71,1.1
17303,155,204,149,271,203,1.65,-10.75,1.14
17403,156,204,148,270,204,1.49,-10.75,1.29
17503,155,204,148,270,203,1.22,-10.75,1.33
17603,155,204,149,270,203,1.41,-10.71,1.18
17703,155,204,150,270,203,1.33,-10.63,1.41
17803,156,203,150,271,203,1.1,-10.79,1.41
17903,156,203,150,270,203,0.98,-10.59,1.61
18003,156,204,150,270,203,1.22,-10.67,1.41
18103,156,204,150,270,203,1.26,-10.67,1.57
18203,156,204,150,270,203,1.02,-10.79,1.69
18304,156,205,150,269,203,1.14,-10.75,1.45
18403,156,204,150,270,202,1.02,-10.75,1.41
18503,157,204,151,269,203,1.14,-10.71,1.73
18604,156,203,150,270,202,1.06,-10.79,2.04
18703,156,204,150,269,202,1.33,-10.75,1.65
18803,156,204,149,269,202,1.18,-10.79,1.73
19003,156,203,149,270,202,1.22,-10.71,1.73
19103,156,204,149,269,202,1.22,-10.71,1.53
19203,156,204,148,269,201,1.14,-10.71,1.65
19303,156,203,149,269,201,1.14,-10.75,1.88
19403,156,203,148,269,201,1.41,-10.75,1.73
19503,156,203,148,269,201,1.29,-10.67,1.69
19603,155,203,148,269,201,1.22,-10.67,1.77
19703,156,203,149,268,201,1.18,-10.67,2.08
19803,156,203,148,268,200,1.18,-10.63,2.16
19903,154,203,148,268,201,1.26,-10.67,2.08
20003,155,204,148,268,200,1.26,-10.67,2
20103,156,203,148,268,201,1.41,-10.63,1.8
20203,156,203,148,268,201,1.22,-10.63,1.73
20303,155,204,148,269,201,1.33,-10.63,1.69
20403,156,203,148,268,200,1.33,-10.63,1.8
20503,155,203,148,268,200,2.12,-10.4,1.92
