millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
3,219,190,210,161,211,-4.04,-7.88,3.06
103,218,191,209,160,227,-5.14,-8.9,3.88
203,218,191,209,161,209,-5.02,-9.34,4.04
303,217,192,208,161,225,-4.24,-9.1,4.28
403,219,190,208,161,218,-4.2,-8.71,4.08
503,218,191,210,161,217,-4.63,-8.9,3.8
603,218,191,210,161,215,-4.82,-9.1,3.8
703,217,192,209,160,213,-5.06,-8.79,3.88
803,217,191,209,161,217,-4.94,-8.83,3.8
903,218,192,209,161,217,-5.02,-8.67,3.57
1003,218,191,209,161,212,-5.02,-8.67,3.8
1103,219,190,209,161,210,-5.14,-8.39,3.18
1203,218,191,210,161,209,-5.53,-8.08,2.59
1303,218,191,209,161,212,-5.65,-6.98,2.28
1403,218,191,209,161,210,-7.53,-5.57,-2.12
1503,218,190,209,160,204,-6.79,-4.2,-4.63
1603,218,190,209,159,202,-7.65,-2.82,-5.96
1703,218,190,209,159,201,-6.59,-2.08,-6.9
1803,217,192,209,158,200,-6.71,-1.06,-7.65
1903,217,190,208,158,199,-6.79,-1.41,-7.06
2003,218,191,209,158,200,-7.41,-2.47,-5.88
2103,217,191,209,157,201,-7.77,-3.8,-4.28
2203,218,191,209,159,201,-7.53,-4.59,-2.16
2304,218,190,210,159,201,-8.16,-5.57,0.35
2403,218,192,208,159,202,-7.81,-6.08,1.61
2503,218,190,210,160,202,-6.43,-6,4
2604,218,190,208,159,205,-5.45,-5.65,6.94
2703,217,191,209,160,211,-4.2,-5.06,8.47
2803,219,191,210,160,219,-2.82,-4.63,9.85
3003,219,190,210,160,209,-0.35,-3.61,11.69
3103,219,191,209,160,208,-0.67,-3.18,11.3
3203,218,190,211,159,207,-0.12,-3.06,10.94
3303,219,191,209,159,206,-1.88,-3.84,10.04
3403,218,190,209,159,207,-3.77,-4.59,8.79
3503,218,191,208,159,205,-4.79,-4.86,8.47
3603,218,191,210,159,204,-6.12,-5.3,6.67
3703,219,190,211,159,204,-7.65,-5.37,4.39
3803,218,191,209,160,203,-8.94,-4.67,3.22
3903,218,191,210,159,203,-8.47,-4.31,0
4003,218,191,210,158,201,-9.02,-3.14,-1.22
4103,217,191,209,158,201,-8.24,-2.24,-3.45
4203,218,191,208,158,201,-7.18,-1.61,-4.47
4303,218,190,210,158,202,-7.26,-1.22,-5.61
4403,218,191,209,158,201,-7.18,-0.35,-5.88
4503,219,191,209,159,201,-7.18,-0.59,-6.83
4603,218,191,209,159,201,-7.53,-1.61,-5.57
4703,218,191,209,158,201,-8.2,-2.86,-3.3
4803,218,190,210,158,201,-8.12,-4.31,0.31
4903,218,190,210,157,202,-7.69,-4.55,3.69
5003,218,190,209,158,202,-6.35,-4.86,5.96
5103,219,191,209,158,202,-5.06,-4.16,8.08
5203,219,191,209,158,205,-2.75,-3.18,10.28
5303,220,191,209,159,207,-2.04,-2.55,11.3
5403,219,191,209,159,220,-0.78,-1.84,11.61
5504,220,192,208,159,212,0.27,-1.37,12.47
5603,220,191,209,159,209,-0.35,-1.37,11.89
5703,219,190,210,159,209,-3.22,-2.55,9.65
5804,220,190,210,158,208,-5.45,-2.63,8.36
5903,219,191,209,158,206,-8.83,-4.35,3.26
6003,219,191,209,157,205,-9.06,-3.88,0.63
6203,220,190,208,156,203,-8.87,-3.22,-2.16
6303,219,190,208,156,203,-7.77,-2.67,-3.65
6403,219,190,207,156,202,-7.3,-1.53,-5.14
6503,220,191,207,156,202,-7.02,-0.94,-6.32
6603,219,190,208,156,202,-5.77,-0.47,-6.86
6703,216,190,206,155,201,-5.65,0,-7.45
6803,219,190,207,154,201,-6.24,-0.71,-7.1
6903,219,189,206,153,201,-7.06,-1.53,-5.37
7003,219,189,205,151,201,-7.45,-2.28,-3.8
7103,219,188,203,147,200,-8.32,-3.45,-3.69
7203,219,187,202,145,197,-9.06,-3.96,-1.22
7303,220,186,201,143,192,-9.14,-3.84,1.84
7403,221,185,200,141,187,-8.75,-3.92,3.06
7503,221,183,198,140,185,-8.39,-4.28,3.06
7603,220,183,197,140,183,-7.88,-4.51,3.88
7703,220,183,199,139,183,-8.2,-3.84,5.37
7803,220,183,197,140,199,-7.88,-3.53,5.92
7903,220,182,198,140,189,-7.77,-3.57,6.16
8003,219,183,197,140,188,-8.28,-3.49,5.84
8103,219,181,198,140,188,-7.92,-3.61,5.96
8203,218,182,198,140,193,-7.65,-3.49,6.12
8303,219,182,199,139,188,-7.69,-3.61,6.24
8403,220,182,198,140,188,-8.04,-3.84,5.73
8503,219,182,199,140,181,-8.39,-4,5.18
8603,218,182,198,140,183,-8.59,-4,3.53
8704,218,183,197,143,208,-8.67,-4.12,-0.86
8803,218,191,205,159,220,-8.71,-3.84,-2.31
8903,218,196,216,169,233,-9.18,-3.02,0.12
9004,218,197,215,168,227,-8.71,-3.02,-0.71
9103,217,196,214,165,234,-8.59,-2.28,-2.39
9203,218,196,213,163,229,-8.04,-1.8,-4.82
9403,218,195,212,162,224,-7.96,-1.37,-5.33
9503,218,193,211,158,222,-7.65,-1.33,-5.49
9603,218,191,201,149,212,-7.85,-2.43,-5.3
9703,219,188,202,143,196,-8.16,-3.1,-3.37
9803,217,186,202,141,191,-8.36,-3.41,-1.02
9903,219,186,201,142,189,-9.06,-3.88,1.53
10003,219,184,200,141,190,-8.47,-4,3.22
10103,218,184,200,141,191,-8.67,-3.53,4
10203,219,184,199,140,182,-8.98,-3.49,4.71
10303,218,183,199,140,182,-8.24,-3.57,4.86
10403,218,183,199,141,182,-8.39,-3.61,5.3
10503,218,174,199,140,178,-8.2,-3.53,5.84
10603,219,183,199,140,182,-8.12,-3.3,6.2
10703,217,183,198,141,182,-7.85,-3.1,6.47
10803,217,183,198,140,182,-7.92,-3.14,6.32
10903,217,183,198,138,182,-8.2,-3.37,5.61
11003,217,183,198,140,182,-8.43,-3.61,5.41
11103,218,182,198,141,184,-8.67,-3.8,4.39
11203,218,183,198,141,207,-9.57,-3.92,2.28
11303,217,183,199,141,214,-9.26,-3.53,-0.08
11403,218,183,199,141,216,-8.71,-2.94,-1.69
11503,211,184,200,143,199,-8.36,-2.43,-2.2
11603,219,185,201,144,211,-7.96,-2.79,-3.37
11703,220,187,202,144,215,-7.77,-2.04,-4.43
11803,219,187,202,144,205,-6.51,-1.65,-6.28
11904,219,187,202,144,202,-6.59,-1.41,-6.71
12003,220,186,201,144,200,-6.71,-1.88,-6.16
12103,219,186,201,145,205,-7.34,-2.67,-5.14
12204,220,186,201,144,199,-8.28,-3.06,-3.02
12303,219,186,191,144,206,-8.36,-3.53,-0.55
12403,219,185,201,144,200,-9.14,-3.77,2.59
12603,220,186,201,144,200,-6.71,-3.41,7.14
12703,222,186,202,145,200,-5.33,-2.75,9.18
12803,225,186,201,145,206,-4.12,-2.63,10.24
12903,226,187,202,144,207,-3.37,-2.55,10.36
13003,226,186,202,145,206,-3.37,-2.51,10.51
13103,225,184,202,145,206,-3.45,-2.47,10.47
13203,223,186,203,145,205,-4.98,-3.65,9.34
13303,223,185,200,144,199,-6.47,-4.39,7.34
13403,223,186,202,145,199,-7.26,-5.06,5.84
13503,220,186,202,144,199,-7.02,-6.08,5.45
13603,222,186,202,144,198,-6.63,-6.51,4.79
13703,222,186,201,144,198,-6.2,-6.94,4.24
13803,222,186,202,144,199,-5.57,-7.61,3.77
