millis,ax,ay,az,gx,gy,gz,label
3998,8169,265,592,-4,-2,0,0
4003,8175,265,594,-4,-2,0,1
4009,8178,263,596,-4,-2,0,1
4013,8177,265,602,-4,-2,0,1
4018,8176,264,608,-4,-2,0,1
4023,8174,264,611,-4,-2,0,1
4028,8173,264,608,-4,-2,0,1
4033,8171,264,605,-4,-2,0,1
4038,8167,263,604,-4,-2,0,1
4043,8167,266,608,-4,-2,0,1
4049,8168,268,610,-4,-2,0,1
4054,8170,267,609,-4,-2,0,1
4059,8172,266,607,-4,-2,0,1
4064,8175,264,603,-4,-2,0,1
4069,8179,263,599,-4,-2,0,1
4074,8179,266,599,-4,-2,0,1
4079,8175,266,602,-4,-2,0,1
4084,8175,268,609,-4,-2,0,1
4089,8175,268,608,-4,-2,0,1
4094,8174,268,607,-4,-2,0,1
4099,8171,267,605,-4,-2,0,1
4104,8172,264,607,-4,-2,0,1
4109,8176,263,610,-4,-2,0,1
4114,8181,265,610,-4,-2,0,1
4119,8182,264,616,-4,-2,0,1
4124,8182,262,617,-4,-2,0,1
4129,8183,259,618,-4,-2,0,1
4134,8186,259,618,-4,-2,0,1
4139,8185,260,622,-4,-2,0,1
4144,8181,262,622,-4,-2,0,1
4149,8178,264,621,-4,-2,0,1
4154,8176,264,618,-4,-2,0,1
4159,8176,264,615,-4,-2,0,1
4164,8177,263,609,-4,-2,0,1
4169,8179,260,606,-4,-2,0,1
4174,8181,258,607,-4,-2,0,1
4179,8182,259,607,-4,-2,0,1
4184,8184,261,608,-4,-2,0,1
4189,8183,260,608,-4,-2,0,1
4194,8182,261,610,-4,-2,0,1
4199,8178,262,609,-4,-2,0,1
4204,8178,259,610,-4,-2,0,1
4209,8178,259,612,-4,-2,0,1
4214,8177,256,611,-4,-2,0,1
4219,8176,255,607,-4,-2,0,1
4224,8178,254,608,-4,-2,0,1
4229,8180,253,608,-4,-2,0,1
4234,8180,253,608,-4,-2,0,1
4239,8181,253,608,-4,-2,0,1
4244,8186,253,605,-4,-2,0,1
4249,8184,255,599,-4,-2,0,1
4254,8183,256,598,-4,-2,0,1
4259,8181,257,599,-4,-2,0,1
4264,8180,258,600,-4,-2,0,1
4269,8178,257,605,-4,-2,0,1
4274,8177,258,611,-4,-2,0,1
4279,8179,259,610,-4,-2,0,1
4284,8183,261,610,-4,-2,0,1
4289,8185,260,612,-4,-2,0,1
4294,8188,260,612,-4,-2,0,1
4299,8189,261,614,-4,-2,0,1
4304,8188,264,613,-4,-2,0,1
4309,8183,265,608,-4,-2,0,1
4314,8181,265,608,-4,-2,0,1
4319,8180,265,603,-4,-2,0,1
4324,8179,264,600,-4,-2,0,1
4329,8180,263,601,-4,-2,0,1
4334,8179,263,605,-4,-2,0,1
4339,8177,264,605,-4,-2,0,1
4344,8176,265,608,-4,-2,0,1
4349,8177,267,610,-4,-2,0,1
4354,8177,269,607,-4,-2,0,1
4359,8178,269,603,-4,-2,0,1
4364,8176,269,603,-4,-2,0,1
4369,8175,266,601,-4,-2,0,1
4374,8175,263,600,-4,-2,0,1
4379,8175,264,607,-4,-2,0,1
4384,8174,262,606,-4,-2,0,1
4389,8174,261,605,-4,-2,0,1
4394,8174,260,605,-4,-2,0,1
4399,8175,263,608,-4,-2,0,1
4404,8174,265,611,-4,-2,0,1
4409,8177,265,613,-4,-2,0,1
4414,8176,265,613,-4,-2,0,1
4419,8173,263,613,-4,-2,0,1
4424,8175,264,608,-4,-2,0,1
4429,8179,265,604,-4,-2,0,1
4434,8180,264,604,-4,-2,0,1
4439,8181,263,603,-4,-2,0,1
4444,8182,261,604,-4,-2,0,1
4449,8182,260,604,-4,-2,0,1
4454,8181,261,604,-4,-2,0,1
4459,8182,260,605,-4,-2,0,1
4464,8185,259,603,-4,-2,0,1
4469,8184,261,599,-4,-2,0,1
4474,8185,262,597,-4,-2,0,1
4479,8184,262,595,-4,-2,0,1
4484,8182,261,600,-4,-2,0,1
4489,8180,261,600,-4,-2,0,1
4494,8183,261,600,-4,-2,0,1
4499,8185,261,601,-4,-2,0,1
4504,8186,261,604,-4,-2,0,1
4509,8187,261,604,-4,-2,0,1
4514,8189,263,607,-4,-2,0,1
4519,8189,262,611,-4,-2,0,1
4524,8186,262,610,-4,-2,0,1
4529,8187,264,613,-4,-2,0,1
4534,8189,264,612,-4,-2,0,1
4539,8186,265,614,-4,-2,0,1
4544,8185,263,611,-4,-2,0,1
4549,8185,266,609,-4,-2,0,1
4554,8183,267,608,-4,-2,0,1
4559,8178,267,604,-4,-2,0,1
4564,8178,269,604,-4,-2,0,1
4569,8180,271,606,-4,-2,0,1
4574,8181,270,604,-4,-2,0,1
4579,8181,269,600,-4,-2,0,1
4585,8180,269,600,-4,-2,0,1
4590,8177,270,600,-4,-2,0,1
4594,8177,270,604,-4,-2,0,1
4599,8178,270,604,-4,-2,0,1
4605,8175,270,603,-4,-2,0,1
4610,8175,269,603,-4,-2,0,1
4615,8177,267,603,-4,-2,0,1
4620,8179,270,607,-4,-2,0,1
4624,8178,269,610,-4,-2,0,1
4630,8177,265,616,-4,-2,0,1
4635,8174,263,612,-4,-2,0,1
4640,8174,266,611,-4,-2,0,1
4645,8176,268,611,-4,-2,0,1
4650,8178,269,614,-4,-2,0,1
4655,8177,265,615,-4,-2,0,1
4660,8173,263,618,-4,-2,0,1
4665,8174,261,614,-4,-2,0,1
4670,8174,261,611,-4,-2,0,1
4675,8177,259,610,-4,-2,0,1
4680,8178,256,611,-4,-2,0,1
4685,8179,255,611,-4,-2,0,1
4690,8179,254,611,-4,-2,0,1
4695,8178,254,607,-4,-2,0,1
4700,8175,255,604,-4,-2,0,1
4705,8171,255,604,-4,-2,0,1
4710,8171,254,601,-4,-2,0,1
4715,8172,254,603,-4,-2,0,1
4720,8172,255,604,-4,-2,0,1
4725,8173,258,607,-4,-2,0,1
4730,8176,259,604,-4,-2,0,1
4735,8178,260,609,-4,-2,0,1
4740,8181,259,611,-4,-2,0,1
4745,8180,260,612,-4,-2,0,1
4750,8180,258,614,-4,-2,0,1
4755,8181,257,614,-4,-2,0,1
4760,8176,257,617,-4,-2,0,1
4765,8173,258,617,-4,-2,0,1
4770,8174,260,615,-4,-2,0,1
4775,8174,263,615,-4,-2,0,1
4780,8175,265,615,-4,-2,0,1
4785,8177,265,613,-4,-2,0,1
4790,8177,264,610,-4,-2,0,1
4795,8176,263,609,-4,-2,0,1
4800,8178,264,607,-4,-2,0,1
4805,8177,266,609,-4,-2,0,1
4810,8174,265,612,-4,-2,0,1
4815,8168,266,609,-4,-2,0,1
4820,8168,269,608,-4,-2,0,1
4825,8171,268,604,-4,-2,0,1
4830,8174,266,605,-4,-2,0,1
4835,8176,264,603,-4,-2,0,1
4840,8176,262,603,-4,-2,0,1
4845,8178,262,603,-4,-2,0,1
4850,8178,261,603,-4,-2,0,1
4855,8180,263,606,-4,-2,0,1
4860,8180,262,607,-4,-2,0,1
4865,8183,261,606,-4,-2,0,1
4870,8180,257,605,-4,-2,0,1
4875,8179,256,604,-4,-2,0,1
4880,8179,258,608,-4,-2,0,1
4885,8179,259,607,-4,-2,0,1
4890,8180,259,606,-4,-2,0,1
4895,8181,260,610,-4,-2,0,1
4900,8181,262,617,-4,-2,0,1
4905,8181,266,619,-4,-2,0,1
4910,8183,269,621,-4,-2,0,1
4915,8185,270,622,-4,-2,0,1
