millis,ax,ay,az,gx,gy,gz,label
11052,-83,-8180,-231,-3,-1,0,0
11057,-111,-8182,-239,-3,-1,0,0
11062,-134,-8184,-242,-3,-1,0,0
11067,-145,-8188,-235,-3,-1,0,0
11073,-148,-8188,-227,-3,-1,0,0
11078,-148,-8185,-223,-3,-1,0,0
11084,-142,-8187,-224,-3,-1,0,0
11089,-134,-8185,-235,-3,-1,0,0
11095,-126,-8183,-247,-3,-1,0,0
11101,-116,-8181,-257,-3,-1,0,0
11106,-110,-8183,-261,-3,-1,0,0
11111,-106,-8184,-262,-3,-1,-1,0
11117,-104,-8184,-259,-3,-1,-1,0
11122,-103,-8185,-253,-3,-1,-1,0
11128,-102,-8184,-249,-3,-1,0,0
11134,-96,-8182,-247,-3,-1,0,0
11139,-86,-8182,-256,-3,-1,0,0
11145,-71,-8182,-267,-3,-1,0,0
11150,-53,-8182,-271,-3,-1,0,0
11156,-31,-8183,-274,-3,-1,0,0
11162,-8,-8183,-272,-3,-1,0,0
11167,14,-8182,-262,-3,-1,0,0
11172,27,-8181,-248,-3,-1,0,0
11177,37,-8181,-231,-3,-1,0,0
11182,41,-8185,-222,-3,-1,0,0
11188,33,-8188,-223,-3,-2,0,0
11192,19,-8189,-235,-3,-2,0,0
11196,2,-8190,-252,-3,-2,0,0
11200,-13,-8189,-274,-3,-2,0,0
11205,-29,-8188,-296,-3,-2,0,0
11209,-41,-8188,-312,-3,-2,0,0
11214,-47,-8188,-328,-2,-2,0,0
11218,-49,-8189,-331,-2,-2,0,0
11222,-49,-8189,-328,-2,-2,0,0
11226,-39,-8187,-321,-2,-1,0,0
11230,-27,-8186,-305,-2,-1,0,0
11235,-15,-8185,-292,-2,-1,0,0
11241,-6,-8183,-275,-2,-2,0,0
11247,-3,-8180,-256,-2,-2,0,0
11252,-10,-8182,-237,-2,-2,0,0
11257,-25,-8186,-217,-2,-2,0,0
11263,-46,-8183,-195,-2,-2,0,0
11268,-67,-8183,-171,-2,-2,0,0
11274,-86,-8182,-150,-3,-2,0,0
11279,-100,-8184,-132,-3,-2,0,0
11284,-106,-8186,-125,-3,-2,0,0
11289,-104,-8186,-119,-2,-2,0,0
11293,-98,-8187,-115,-3,-2,0,0
11297,-88,-8188,-120,-3,-2,0,0
11301,-73,-8186,-125,-3,-2,0,0
11305,-57,-8186,-141,-3,-2,0,0
11310,-40,-8184,-156,-3,-2,0,0
11314,-23,-8182,-174,-3,-2,0,0
11319,-2,-8182,-186,-3,-2,0,0
11324,21,-8181,-196,-3,-2,0,0
11329,42,-8179,-207,-3,-2,0,0
11334,64,-8177,-217,-3,-1,0,0
11339,77,-8177,-219,-3,-1,0,0
11345,79,-8176,-223,-3,-1,0,0
11350,72,-8176,-231,-3,-2,0,0
11355,56,-8175,-242,-3,-2,0,0
11360,33,-8175,-250,-3,-1,0,0
11365,11,-8174,-258,-3,-1,0,0
11369,-12,-8176,-262,-2,-1,0,0
11373,-32,-8179,-262,-3,-1,0,0
11377,-38,-8180,-256,-2,-1,0,0
11382,-40,-8180,-248,-3,-1,0,0
11387,-38,-8181,-241,-3,-1,0,0
11392,-34,-8183,-231,-3,-1,0,0
11398,-31,-8187,-220,-3,-1,0,0
11402,-24,-8186,-214,-3,-1,0,0
11407,-20,-8188,-211,-3,-1,0,0
11413,-23,-8188,-208,-2,-1,0,0
11417,-27,-8185,-211,-2,-1,0,0
11423,-33,-8187,-210,-3,-2,0,0
11428,-44,-8188,-211,-3,-2,0,0
11433,-57,-8188,-210,-3,-2,0,0
11437,-68,-8190,-209,-3,-2,0,0
11442,-78,-8190,-210,-3,-2,0,0
11447,-84,-8189,-215,-3,-2,0,0
11452,-86,-8187,-221,-3,-2,0,0
11458,-84,-8184,-227,-3,-2,0,0
11463,-78,-8185,-234,-3,-2,0,0
11467,-66,-8184,-242,-3,-2,0,0
11472,-55,-8184,-251,-3,-2,0,0
11478,-44,-8184,-255,-3,-2,0,0
11483,-39,-8182,-258,-3,-2,0,0
11488,-39,-8180,-263,-3,-2,0,0
11493,-46,-8182,-265,-3,-2,0,0
11498,-58,-8183,-266,-3,-2,0,0
11502,-70,-8181,-269,-2,-2,0,0
11508,-83,-8183,-267,-3,-2,0,0
11512,-91,-8182,-266,-2,-2,0,0
11517,-94,-8180,-269,-3,-2,0,0
11523,-88,-8181,-264,-3,-2,0,0
11529,-79,-8182,-261,-3,-2,0,0
11534,-68,-8183,-256,-3,-2,0,0
11540,-60,-8183,-252,-2,-2,0,0
11546,-56,-8181,-253,-2,-2,0,0
11551,-55,-8181,-253,-2,-2,0,0
11556,-56,-8182,-256,-2,-2,0,0
11561,-56,-8182,-257,-2,-2,0,0
11567,-55,-8184,-258,-2,-2,0,0
11573,-55,-8182,-259,-2,-2,0,0
11577,-52,-8182,-262,-2,-2,0,0
11583,-50,-8180,-264,-2,-2,0,0
11588,-46,-8179,-269,-2,-1,0,0
11594,-43,-8181,-274,-2,-1,0,0
11598,-37,-8179,-273,-2,-1,0,0
11603,-31,-8177,-279,-2,-1,0,0
11608,-24,-8178,-283,-2,-1,0,0
11614,-13,-8178,-289,-2,-1,0,0
11619,-5,-8178,-296,-2,-1,0,0
11624,1,-8179,-303,-2,-1,0,0
11628,0,-8178,-309,-2,-1,0,0
11633,-10,-8180,-316,-2,-1,0,0
11638,-21,-8183,-314,-2,-1,0,0
11644,-31,-8185,-317,-2,-1,0,0
11649,-43,-8184,-315,-2,-1,0,0
11654,-56,-8186,-309,-2,-1,0,0
11659,-66,-8188,-305,-2,-1,0,0
11664,-73,-8186,-303,-2,-1,0,0
11669,-80,-8185,-300,-2,-1,0,0
11674,-83,-8184,-295,-2,-1,0,0
11679,-84,-8186,-292,-2,-1,0,0
11684,-78,-8182,-289,-2,-1,0,0
11689,-69,-8182,-290,-2,-1,-1,0
11695,-60,-8183,-286,-2,-1,-1,0
11700,-53,-8184,-289,-2,-1,-1,0
11707,-52,-8186,-288,-2,-1,-1,0
11712,-56,-8185,-294,-2,-2,-1,0
11717,-62,-8188,-303,-2,-2,-1,0
11721,-68,-8188,-309,-2,-2,-1,0
11727,-73,-8188,-312,-2,-1,-1,0
11731,-77,-8187,-311,-2,-1,-1,0
11736,-76,-8186,-300,-2,-1,-1,0
11741,-75,-8187,-291,-2,-1,-1,0
11745,-70,-8187,-281,-2,-1,-1,0
11750,-64,-8188,-272,-2,-1,-1,0
11754,-59,-8187,-265,-2,-1,-1,0
11758,-55,-8188,-260,-2,-2,-1,0
11763,-49,-8189,-258,-2,-2,-1,0
11767,-49,-8187,-256,-2,-2,-1,0
11772,-56,-8187,-260,-2,-1,-1,0
11776,-61,-8185,-263,-2,-1,-1,0
11781,-66,-8187,-263,-2,-1,-1,0
11785,-71,-8188,-267,-2,-1,-1,0
11789,-72,-8187,-269,-2,-1,-1,0
11794,-75,-8184,-267,-2,-1,-1,0
11798,-83,-8183,-260,-2,-1,-1,0
11803,-88,-8181,-254,-2,-1,-1,0
11807,-93,-8179,-251,-2,-2,-1,0
11812,-97,-8183,-248,-2,-2,-1,0
11817,-97,-8187,-247,-2,-2,-1,0
11822,-95,-8187,-252,-2,-2,-1,0
11827,-91,-8186,-260,-2,-2,-1,0
11832,-87,-8185,-273,-2,-2,-1,0
11837,-83,-8186,-287,-2,-2,-1,0
11842,-84,-8188,-299,-2,-2,-1,0
11847,-85,-8190,-310,-2,-2,-1,0
11852,-91,-8189,-317,-2,-1,-1,0
11857,-97,-8190,-322,-2,-1,-1,0
11862,-106,-8192,-327,-2,-1,-1,0
11867,-117,-8192,-334,-2,-1,-1,0
11872,-130,-8193,-346,-2,-2,-1,0
11877,-143,-8194,-355,-2,-2,-1,0
11882,-159,-8194,-360,-2,-2,-1,0
11887,-173,-8194,-360,-2,-2,-1,0
11892,-186,-8193,-359,-1,-2,-1,0
11897,-194,-8190,-363,-1,-2,-1,0
11902,-196,-8185,-367,-1,-2,-1,0
11907,-199,-8187,-368,-1,-2,-1,0
11912,-198,-8186,-372,-1,-2,-1,0
11917,-194,-8184,-379,-1,-2,-1,0
11922,-187,-8181,-386,-1,-3,-1,0
11927,-179,-8180,-395,-1,-3,-2,0
11932,-173,-8180,-398,-1,-3,-2,0
11937,-165,-8181,-396,-1,-3,-2,0
11942,-158,-8178,-391,-1,-3,-2,0
11946,-153,-8178,-378,-1,-3,-2,0
11951,-152,-8178,-367,-1,-3,-2,0
11957,-153,-8174,-359,-1,-3,-2,0
11962,-152,-8174,-351,-1,-3,-2,0
11966,-149,-8174,-343,-1,-3,-2,0
11972,-138,-8172,-332,-1,-3,-2,0
11976,-125,-8176,-322,-1,-3,-2,0
11981,-117,-8177,-312,-1,-3,-2,0
11986,-101,-8181,-304,-1,-4,-2,0
11991,-93,-8185,-296,-1,-4,-2,0
11996,-88,-8185,-290,-1,-4,-2,0
12001,-85,-8185,-292,-1,-4,-2,0
12006,-93,-8183,-296,-1,-5,-2,0
12012,-110,-8184,-293,-1,-5,-2,0
12016,-129,-8188,-297,-1,-6,-2,0
12021,-148,-8192,-297,-1,-6,-2,0
12026,-170,-8192,-294,-1,-7,-2,0
12031,-177,-8193,-282,-1,-7,-2,0
12036,-177,-8193,-270,-1,-7,-2,0
12041,-170,-8191,-256,-1,-7,-2,0
12046,-159,-8191,-242,-1,-8,-2,0
12051,-150,-8191,-230,-1,-8,-2,0
12056,-139,-8193,-224,-1,-8,-2,0
12061,-125,-8194,-215,-1,-8,-2,0
12066,-114,-8195,-205,-1,-9,-2,0
12071,-98,-8193,-192,-1,-9,-2,0
12076,-78,-8189,-170,-1,-9,-2,0
12081,-53,-8188,-149,-1,-10,-2,0
12086,-18,-8185,-123,-1,-11,-2,0
12091,14,-8183,-98,-1,-12,-2,0
12097,45,-8182,-83,-1,-13,-2,0
12102,85,-8181,-76,-1,-15,-2,0
12107,130,-8180,-85,-1,-17,-2,0
12113,168,-8177,-101,-1,-20,-2,0
12118,184,-8177,-118,0,-25,-2,0
12124,174,-8180,-136,0,-27,-3,0
12129,148,-8181,-156,0,-30,-3,0
12133,103,-8181,-173,0,-32,-3,0
12138,43,-8183,-187,0,-34,-3,0
12143,-12,-8185,-196,0,-36,-3,0
12148,-67,-8184,-202,0,-39,-3,0
12153,-113,-8185,-208,0,-41,-3,0
12158,-145,-8185,-210,0,-42,-3,0
12163,-161,-8188,-205,0,-45,-4,0
12168,-161,-8189,-186,0,-47,-4,0
12174,-145,-8190,-158,0,-49,-4,0
12179,-120,-8192,-119,0,-52,-4,0
12184,-96,-8191,-69,0,-54,-4,0
12190,-71,-8189,-30,0,-56,-4,0
12196,-50,-8189,6,0,-58,-4,0
12200,-34,-8188,26,0,-61,-5,0
