millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,mlabel
3,183,218,163,281,297,-3.84,-4.51,9.3,0
103,182,216,162,280,296,-3.84,-4.2,8.71,0
203,182,216,161,280,296,-4.16,-4.59,8.71,0
303,182,218,163,280,297,-4.16,-4.59,9.14,0
403,182,217,161,280,296,-3.69,-4.71,9.02,0
503,182,214,162,280,296,-3.8,-4.47,9.18,0
603,182,214,161,280,294,-4.39,-4.39,9.14,0
703,182,218,162,280,295,-4.35,-4.59,9.06,0
803,182,217,163,280,296,-3.88,-4.71,9.1,0
903,184,215,164,278,294,-3.92,-4.94,9.38,0
1003,183,214,161,281,295,-4.47,-5.22,9.61,0
1103,182,217,162,280,296,-4.04,-5.53,8.79,0
1203,184,216,166,282,297,-3.45,-6.51,8.12,0
1303,203,233,178,295,314,-3.33,-7.22,7.65,0
1403,183,221,165,283,298,-2.94,-8,6.94,0
1503,189,224,169,286,302,-2.55,-8.55,6.04,0
1603,197,233,179,296,310,-2.51,-8.98,5.45,0
1703,232,268,229,330,340,-1.96,-9.3,4.82,0
1803,221,259,207,318,319,-1.65,-9.57,3.69,0
1903,189,223,170,285,301,-1.57,-9.92,4,0
2003,191,224,174,283,298,-1.65,-10.08,4.24,0
2103,185,221,167,283,300,-1.77,-10.28,3.88,0
2203,194,228,174,292,304,-1.45,-10.2,3.61,0
2304,184,211,164,271,284,-0.98,-10.2,2.9,0
2403,183,213,161,271,284,-0.86,-10.36,2.71,0
2503,196,227,176,289,304,-1.41,-10.4,2.86,0
2604,187,219,169,282,298,-1.41,-10.4,3.06,0
2703,195,230,176,288,306,-1.1,-10.32,2.9,0
2803,218,245,190,302,317,-0.82,-10.4,2.75,0
3003,183,219,161,277,294,-1.57,-10.59,3.69,0
3103,185,218,163,277,291,-1.37,-10.32,2.94,0
3203,184,219,160,274,290,-1.14,-10.28,2.63,0
3303,184,216,161,274,291,-0.98,-10.47,3.06,0
3403,186,215,162,273,291,-1.61,-10.36,3.22,0
3503,184,217,160,275,293,-1.53,-10.55,3.06,0
3603,185,216,162,277,292,-1.22,-10.36,2.9,0
3703,184,215,160,277,292,-1.02,-10.36,3.1,0
3803,185,217,162,274,294,-1.33,-10.28,3.3,0
3903,183,220,161,278,294,-1.65,-10.32,2.98,0
4003,203,235,181,290,310,-1.45,-10.32,3.14,0
4103,227,258,200,313,330,-0.98,-10.28,3.37,0
4203,230,263,211,319,335,-1.1,-10.12,3.1,0
4303,228,258,205,312,330,-1.61,-10.47,3.3,0
4403,238,271,226,332,343,-1.18,-10.43,3.41,0
4503,225,256,206,314,333,-1.18,-10.2,3.37,0
4603,196,229,175,285,306,-0.94,-10.36,3.41,0
4703,192,226,174,290,302,-1.45,-10.24,3.57,0
4803,196,224,175,287,303,-1.61,-10.32,3.33,0
4903,192,231,173,287,303,-1.29,-10.28,3.53,0
5003,195,228,176,287,298,-1.02,-10.28,3.37,0
5103,192,225,170,284,300,-1.1,-10.2,3.18,0
5203,193,223,170,285,301,-1.33,-9.96,3.45,0
5303,192,224,168,284,302,-0.78,-9.45,3.1,0
5403,187,226,164,282,301,-1.49,-9.45,5.41,0
5504,186,222,168,281,300,-2.67,-8.87,6.67,0
5603,187,221,165,282,299,-3.3,-8.36,7.92,0
5703,189,224,166,288,300,-2.08,-7.06,8.12,0
5804,198,234,174,293,310,-2.35,-6.43,8.08,0
5903,186,224,162,283,301,-3.18,-6.08,8.59,0
6003,185,218,161,282,298,-3.88,-5.3,9.92,0
6203,202,235,184,301,313,-3.92,-4.55,9.57,0
6303,190,226,172,293,307,-3.73,-4.51,9.14,0
6403,190,226,176,306,314,-3.8,-4.28,9.34,0
6503,191,224,188,319,332,-3.88,-4.35,9.45,0
6603,194,233,245,365,368,-4.31,-4.59,8.98,5
6703,200,244,324,450,372,-4.94,-4.16,8.79,5
6803,206,259,343,511,358,-4.31,-3.45,8.71,5
6903,213,262,342,528,393,-4.86,-3.06,9.14,5
7003,216,258,341,533,328,-4.04,-2.16,10.2,5
7103,204,242,328,521,303,-3.61,-2.51,9.22,5
7203,198,232,321,515,293,-2.86,-1.61,10.16,5
7303,197,226,320,512,289,-3.49,-1.18,11.14,5
7403,196,225,322,507,290,-3.41,-1.06,10.47,5
7503,197,229,321,500,288,-3.61,-1.45,10.28,5
7603,196,226,315,485,291,-3.49,-2,10.16,5
7703,194,227,284,444,289,-4.16,-2.59,10.2,5
7803,189,228,185,356,286,-4.12,-3.96,9.3,0
7903,187,217,158,289,285,-3.53,-5.1,9.26,0
8003,184,215,154,279,285,-3.1,-5.65,7.53,0
8103,181,208,154,276,283,-3.92,-5.84,8.59,0
8203,181,210,155,275,281,-3.69,-5.88,8.63,0
8303,180,218,196,319,281,-3.61,-5.41,8.08,0
8403,190,232,285,431,284,-4.79,-5.02,9.1,5
8503,197,248,326,496,286,-5.02,-3.73,9.85,5
8603,202,253,334,512,288,-4.59,-3.41,9.73,5
8704,198,249,328,510,287,-3.96,-3.69,9.1,5
8803,193,239,329,507,287,-3.49,-3.41,8.39,5
8903,193,239,319,502,288,-4.43,-0.59,11.41,5
9004,190,231,315,497,287,-3.49,-1.92,10.43,5
9103,193,236,314,498,286,-3.88,-1.88,9.49,5
9203,193,234,314,498,286,-3.65,-1.73,10.2,5
9403,192,234,284,452,281,-4.16,-2.35,10.16,5
9503,189,230,183,349,284,-4.04,-3.49,9.89,0
9603,186,223,157,292,283,-3.92,-4.24,8.94,0
9703,181,216,153,283,281,-3.88,-5.02,8.36,0
9803,182,216,153,276,279,-3.26,-5.22,8.63,0
9903,181,209,152,274,279,-3.53,-5.41,8.75,0
10003,180,211,151,274,278,-4.08,-5.49,9.26,0
10103,179,212,154,275,279,-3.92,-5.53,8.79,0
10203,179,216,164,288,280,-4.28,-5.37,9.02,0
10303,183,221,183,335,280,-4.94,-5.02,9.77,0
10403,189,224,253,432,281,-4.67,-4.67,8.71,5
10503,196,227,314,484,281,-4.31,-4.24,8.55,5
10603,201,224,320,492,279,-4.55,-4.08,8.79,5
10703,199,238,318,496,281,-3.88,-3.77,8.51,5
10803,200,236,315,492,281,-3.77,-3.02,9.85,5
10903,198,241,309,495,282,-4.04,-2.63,10.55,5
11003,197,238,308,490,282,-3.8,-2.47,10.71,5
11103,197,233,308,487,282,-3.49,-2.75,9.89,5
11203,197,228,307,485,282,-3.49,-2.67,10.16,5
11303,196,226,307,480,282,-3.33,-2.86,10.32,5
11403,193,223,293,452,281,-3.92,-3.45,9.81,5
11503,190,223,227,389,280,-3.77,-3.96,9.45,0
11603,187,219,172,326,280,-3.61,-4.43,9.06,0
11703,186,218,157,294,280,-3.96,-4.63,8.83,0
11803,185,215,154,283,279,-4,-5.06,8.9,0
11904,184,214,152,278,278,-4.28,-5.06,8.39,0
12003,182,211,152,277,277,-4.2,-4.79,9.02,0
12103,181,210,152,276,277,-4.59,-4.82,9.06,0
12204,181,212,153,276,278,-4.67,-4.86,9.14,0
12303,181,212,153,277,277,-4.67,-4.82,9.02,0
12403,181,212,153,276,277,-4.63,-4.71,8.9,0
12603,181,218,168,294,277,-4.63,-4.75,9.34,0
12703,183,227,224,396,280,-5.14,-4.79,9.61,0
12803,190,230,276,461,280,-4.79,-4.47,9.41,5
12903,195,231,327,502,280,-4.55,-4.31,8.59,5
13003,196,230,326,501,280,-3.88,-4.39,8.24,5
13103,196,228,321,499,280,-3.84,-4.43,8,5
13203,196,223,318,495,281,-4.47,-3.06,10.12,5
13303,194,217,316,493,280,-4.24,-2.82,10.28,5
13403,194,219,313,491,282,-4.47,-2.35,10,5
13503,192,219,313,489,281,-4.08,-2.39,10,5
13603,193,218,311,487,281,-4,-2.75,9.89,5
13703,193,219,310,484,281,-4,-2.71,9.92,5
13803,192,219,297,462,280,-4.28,-3.18,9.65,5
13903,188,218,202,372,279,-4.08,-3.96,9.18,0
14003,186,217,160,303,279,-4.12,-4.28,8.83,0
14103,184,213,155,286,278,-3.96,-4.67,7.96,0
14203,182,212,153,278,277,-4.24,-4.94,7.96,0
14303,180,211,153,275,276,-4.55,-4.94,8.2,0
14403,181,210,153,275,276,-4.9,-4.79,8.98,0
14503,182,208,154,278,277,-4.86,-4.79,8.75,0
14603,182,211,188,319,277,-5.06,-4.31,9.14,0
14703,185,213,254,402,276,-5.22,-4.55,9.61,5
14803,190,214,321,464,276,-5.02,-4,8.87,5
14903,191,213,319,474,275,-4.98,-3.37,9.3,5
15003,194,217,320,487,277,-5.06,-3.26,8.63,5
15104,194,218,316,492,280,-3.69,-3.41,8.16,5
15203,194,217,313,485,279,-4.2,-1.61,10.67,5
15303,193,218,311,483,279,-4.28,-1.88,10.79,5
15404,192,217,311,479,281,-4.28,-2.12,10.08,5
15503,192,218,309,480,280,-4,-2.04,10.16,5
15603,193,214,309,477,278,-4.08,-2.2,9.92,5
15803,191,217,299,452,279,-4.16,-2.75,9.77,5
15903,191,223,241,394,278,-4.51,-2.94,9.57,5
16003,189,220,173,324,278,-4.55,-4.16,8.71,0
16103,189,214,157,292,278,-4.63,-4.47,8.16,0
16203,189,211,154,281,276,-4.51,-4.59,8.71,0
16303,187,210,153,276,276,-4.9,-4.51,9.22,0
16403,187,210,152,276,274,-5.02,-4.59,8.94,0
16503,186,210,153,278,274,-4.71,-4.59,8.79,0
16603,184,209,178,313,276,-4.79,-4.79,9.38,0
16703,189,221,236,394,275,-4.31,-4.08,8.71,5
16803,196,218,301,468,277,-5.22,-3.84,9.38,5
16903,200,214,321,484,277,-5.33,-3.41,9.26,5
17003,200,217,320,485,278,-4.67,-3.77,8.55,5
17103,200,218,318,487,278,-3.73,-4.08,7.41,5
17203,198,216,317,485,279,-4.67,-3.1,9.34,5
17303,198,218,315,484,279,-4.98,-2.43,10.36,5
17403,196,217,314,481,276,-4.75,-2.43,9.85,5
17503,195,216,313,481,280,-4.28,-2.35,9.69,5
17603,195,217,314,477,282,-3.84,-2.55,9.53,5
17703,195,219,312,470,280,-4.24,-2.71,9.81,5
17803,194,219,278,432,280,-4.63,-2.82,9.69,5
17903,192,218,208,373,278,-4.75,-3.06,9.14,0
18003,192,218,161,309,276,-4.79,-4.35,8.47,0
18103,192,214,154,288,276,-5.1,-4.51,8.39,0
18203,190,212,153,282,275,-4.94,-4.71,7.81,0
18304,189,213,150,277,275,-5.06,-4.82,7.77,0
18403,191,210,150,278,273,-5.22,-4.55,8.51,0
18503,190,210,153,277,275,-5.18,-4.55,8.79,0
18604,189,215,180,313,275,-4.82,-4.39,8.28,0
18703,195,228,265,422,278,-5.22,-3.61,8.75,5
18803,199,224,324,469,276,-5.53,-3.69,8.43,5
19003,197,220,324,480,277,-5.06,-3.41,8.43,5
19103,199,218,323,482,277,-4.08,-3.26,8.16,5
19203,198,219,323,475,277,-5.61,-1.45,10.98,5
19303,197,219,322,471,277,-4.59,-3.14,9.02,5
19403,198,217,322,470,276,-4.71,-2.67,9.3,5
19503,196,219,319,464,278,-4.31,-2.67,9.69,5
19603,196,220,300,441,277,-4.67,-3.02,9.38,5
19703,195,219,231,385,277,-5.22,-3.26,9.1,5
19803,193,215,162,321,274,-5.26,-4.16,8.51,0
19903,191,212,156,292,274,-5.02,-4.86,8,0
20003,188,210,152,282,273,-4.94,-5.06,7.81,0
20103,186,207,151,279,273,-5.14,-5.14,7.81,0
