millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
3,184,214,157,291,217,-1.69,-8.12,7.14
103,182,219,156,291,217,-1.29,-8.32,7.18
203,178,218,157,289,216,-1.02,-8.28,7.34
303,180,216,156,287,207,-0.94,-8.32,7.06
403,178,217,156,286,214,-0.71,-8.75,6.9
503,177,214,155,287,212,-0.86,-8.98,6.43
603,177,215,156,285,210,-1.26,-8.94,5.3
703,179,214,155,284,212,-2.43,-9.14,4.75
803,181,215,156,284,211,-3.33,-9.1,4
903,184,214,155,283,211,-4.55,-8.94,3.73
1003,179,214,152,281,211,-5.22,-8.75,2.82
1103,179,213,154,281,211,-6.08,-8.12,2.28
1203,175,208,151,270,197,-6.94,-7.61,1.84
1303,169,200,154,278,208,-7.34,-6.83,0.47
1403,172,205,148,265,198,-8.28,-5.96,-0.63
1503,172,205,147,254,187,-8.47,-5.37,-2.16
1603,173,210,152,270,202,-7.49,-4.71,-3.37
1703,172,207,152,268,200,-7.88,-4.04,-4.2
1803,174,212,155,277,204,-7.65,-3.3,-5.02
1903,176,210,156,273,202,-7.37,-3.14,-5.18
2003,155,187,135,237,177,-7.26,-2.75,-5.57
2103,174,208,159,277,205,-7.18,-2.82,-5.02
2203,170,205,149,255,182,-7.65,-2.47,-5.41
2304,158,192,138,249,182,-7.53,-2.51,-5.57
2403,163,196,144,254,188,-8.04,-2.86,-5.45
2503,173,206,148,266,201,-7.73,-3.3,-4.55
2604,169,205,149,263,197,-8.24,-4.16,-3.33
2703,177,217,158,277,207,-7.92,-5.14,-1.57
2803,177,213,155,275,204,-7.77,-6.24,-0.04
3003,171,207,152,269,200,-6.86,-7.14,1.45
3103,178,213,156,279,205,-6.71,-7.61,1.96
3203,177,213,154,277,206,-5.92,-8,2.86
3303,175,206,152,274,204,-5.84,-8.08,3.45
3403,177,213,153,278,205,-5.41,-8.28,3.65
3503,176,214,155,277,207,-4.71,-8.24,3.92
3603,175,212,154,277,206,-4.59,-8.59,4.67
3703,176,214,153,278,208,-4.47,-8.87,5.02
3803,173,211,152,274,204,-3.96,-8.75,4.9
3903,166,202,145,265,197,-3.06,-9.06,5.33
4003,167,203,145,265,198,-2.67,-9.06,5.33
4103,175,214,153,278,208,-2.2,-8.94,5.22
4203,173,210,148,273,203,-2.16,-8.9,5.3
4303,166,201,143,262,195,-2.51,-8.94,4.9
4403,174,210,150,275,206,-3.73,-8.9,4.59
4503,171,208,148,271,203,-4.47,-8.63,4.39
4603,170,206,145,269,201,-5.26,-8.43,4.04
4703,176,204,151,278,207,-6.04,-7.92,2.86
4803,172,196,147,273,203,-6.39,-7.57,2.55
4903,173,209,148,274,203,-7.45,-7.53,2.35
5003,160,193,137,252,188,-7.81,-6.86,1.26
5103,172,207,146,272,202,-8.04,-6.75,0.67
5203,170,206,145,270,201,-7.92,-6.28,-0.16
5303,174,198,148,277,207,-8.2,-6.12,-0.55
5403,178,216,151,270,209,-7.81,-5.84,-0.63
5504,177,213,149,279,207,-8.24,-5.53,-1.02
5603,176,195,149,278,204,-8.32,-5.26,-1.49
5703,173,210,145,273,203,-8.83,-4.79,-1.41
5804,170,207,146,269,201,-8.43,-4.67,-1.61
5903,172,208,145,270,201,-8.71,-4.71,-1.37
6003,172,208,147,271,202,-8.71,-4.79,-1.45
6203,177,210,151,278,205,-9.22,-5.22,-1.33
6303,175,212,150,276,206,-8.55,-5.57,-1.41
6403,175,213,147,276,206,-7.57,-6.28,0.47
6503,176,213,151,278,207,-6.71,-7.22,2.04
6603,166,202,143,263,196,-5.53,-8,3.02
6703,171,214,153,278,203,-4.75,-8.51,3.96
6803,174,212,148,274,203,-3.8,-8.43,4.04
6903,165,201,137,267,196,-4.63,-8.75,4.35
7003,168,208,147,270,200,-3.49,-9.02,4.71
7103,168,212,149,269,201,-2.59,-9.06,5.1
7203,174,212,148,271,206,-2.51,-9.02,5.49
7303,173,210,149,272,205,-2.67,-9.26,5.26
7403,162,196,139,259,191,-2.31,-9.22,5.33
7503,166,198,141,260,189,-3.06,-9.45,5.1
7603,177,219,154,282,210,-3.77,-9.34,4.51
7703,175,218,148,282,210,-3.84,-9.49,3.33
7803,167,209,145,256,191,-3.14,-9.57,2.28
7903,173,216,153,281,208,-3.1,-9.77,2.24
8003,171,209,146,269,193,-3.3,-9.89,2.16
8103,165,198,142,259,194,-3.53,-9.85,1.69
8203,178,215,153,279,210,-3.06,-10,0.86
8303,179,217,155,282,209,-3.06,-10.2,0.24
8403,180,217,154,282,209,-2.2,-10.28,-0.43
8503,179,213,153,283,207,-2.82,-10.43,-0.39
8603,179,216,153,279,191,-2.67,-10.16,-0.31
8704,179,214,153,278,191,-2,-10.12,-0.51
8803,180,209,152,276,201,-1.22,-10.24,-1.57
8903,182,209,152,275,198,-0.71,-10.2,-2.08
9004,179,207,152,276,199,-0.43,-10.47,-2.47
9103,182,209,145,274,198,-0.75,-10.08,-2.24
