Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,Label
249,183,201,187,186,0.78,-10.43,-0.78,0
249,183,199,187,186,0.82,-10.43,-0.9,0
250,184,201,188,187,0.75,-10.47,-0.78,0
250,184,203,188,186,0.75,-10.43,-0.86,0
250,185,203,190,187,0.71,-10.47,-0.78,0
249,186,208,193,187,0.82,-10.43,-0.82,0
249,192,218,203,189,0.63,-10.51,-0.78,1
250,228,257,299,201,0.31,-10.47,-0.86,1
251,267,289,333,225,0.27,-10.55,-0.9,1
254,318,317,425,267,0,-10.59,-0.47,1
263,347,332,411,301,-0.04,-10.79,-0.08,1
267,348,327,429,307,-0.86,-10.51,0.43,1
273,345,326,400,306,-0.94,-10.51,0,1
273,347,323,378,304,-1.14,-10.47,0.24,1
276,346,322,350,305,-1.1,-10.55,0.35,1
279,342,321,270,295,-1.02,-10.55,0.51,1
263,309,314,287,285,-1.14,-10.63,0.24,1
254,226,269,220,205,0.04,-10.83,-0.63,1
252,193,212,195,183,0.24,-10.4,-0.98,1
252,184,198,186,182,1.02,-10.59,-0.51,1
248,185,196,183,181,0.98,-10.43,-0.98,1
244,180,197,239,179,1.49,-10.43,-0.94,0
244,185,195,184,179,1.06,-10.63,-0.51,0
244,182,195,178,179,1.06,-10.36,-0.94,0
244,182,199,182,177,1.1,-10.43,-0.75,0
253,192,215,221,188,0.63,-10.24,-1.69,0
252,192,215,214,188,0.59,-10.24,-1.65,0
252,191,215,211,187,0.63,-10.24,-1.57,0
252,191,214,199,187,0.59,-10.28,-1.49,0
252,192,216,221,187,0.71,-10.28,-1.57,0
252,191,215,212,187,0.24,-10.16,-1.77,0
253,191,214,198,187,0.55,-10.28,-1.53,0
251,191,214,223,186,0.35,-10.2,-1.33,0
253,191,214,224,188,-0.24,-10.24,-1.77,0
253,187,211,243,187,-0.08,-10.2,-1.73,0
252,185,204,192,186,0.16,-10.28,-1.41,1
253,185,203,189,185,0.16,-10.47,-0.9,1
254,184,203,190,185,0.2,-10.43,-1.26,1
253,202,229,280,195,-0.63,-10.59,-0.94,1
259,290,299,310,247,-0.9,-10.28,-0.78,1
272,332,322,330,299,-2.2,-9.96,0.24,1
275,344,329,340,306,-2.35,-10.36,0.51,1
277,344,327,430,310,-2.28,-10.2,0.55,1
279,340,325,410,305,-2.31,-10.28,0.67,1
277,336,323,400,302,-2.24,-10.32,0.63,1
275,333,320,360,299,-2.12,-10.32,0.75,1
269,313,313,333,277,-1.92,-10.32,0.67,1
264,262,300,289,244,-1.49,-10.36,0.2,1
252,218,254,257,199,-0.59,-10.36,-1.1,1
245,191,210,205,187,0.39,-10.2,-1.92,1
243,181,200,191,183,0.86,-10.43,-0.86,0
242,183,203,190,184,0.59,-10.51,-0.75,0
245,185,200,187,185,0.47,-10.51,-0.78,0
